,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,SJM,J M Smucker Co,2021-11-23T07:00:05.000Z,TAS,2.04,2.43,19.12,EST,-18000000,EQUITY,2021-11-23
4,SJM,The J. M. Smucker Company,2021-08-26T00:00:00.000Z,TNS,1.86,1.9,1.93,EST,0,EQUITY,2021-08-26
5,SJM,The J. M. Smucker Company,2021-06-03T00:00:00.000Z,TNS,1.67,1.89,13.24,EST,0,EQUITY,2021-06-03
6,SJM,The J. M. Smucker Company,2021-02-25T00:00:00.000Z,TNS,2.19,2.45,11.72,EST,0,EQUITY,2021-02-25
7,SJM,The J. M. Smucker Company,2020-11-24T00:00:00.000Z,TNS,2.23,2.39,7.32,EST,0,EQUITY,2020-11-24
8,SJM,The J. M. Smucker Company,2020-08-25T00:00:00.000Z,TNS,1.67,2.37,41.58,EST,0,EQUITY,2020-08-25
9,SJM,The J. M. Smucker Company,2020-06-04T00:00:00.000Z,TNS,2.29,2.57,12.33,EST,0,EQUITY,2020-06-04
10,SJM,The J. M. Smucker Company,2020-02-26T00:00:00.000Z,TNS,2.23,2.35,5.48,EST,0,EQUITY,2020-02-26
11,SJM,The J. M. Smucker Company,2019-11-22T00:00:00.000Z,TNS,2.13,2.26,6.3,EST,0,EQUITY,2019-11-22
12,SJM,The J. M. Smucker Company,2019-08-27T00:00:00.000Z,TNS,1.74,1.58,-9.4,EST,0,EQUITY,2019-08-27
13,SJM,The J. M. Smucker Company,2019-06-06T00:00:00.000Z,TNS,1.95,2.08,6.67,EST,0,EQUITY,2019-06-06
14,SJM,The J. M. Smucker Company,2019-02-26T00:00:00.000Z,TNS,2.01,2.26,12.21,EST,0,EQUITY,2019-02-26
15,SJM,The J. M. Smucker Company,2018-11-28T00:00:00.000Z,TNS,2.34,2.17,-7.23,EST,0,EQUITY,2018-11-28
16,SJM,The J. M. Smucker Company,2018-08-21T00:00:00.000Z,TNS,1.76,1.78,1.14,EST,0,EQUITY,2018-08-21
17,SJM,The J. M. Smucker Company,2018-06-07T00:00:00.000Z,TNS,2.18,2.03,-7.05,EST,0,EQUITY,2018-06-07
18,SJM,The J. M. Smucker Company,2018-02-16T00:00:00.000Z,TNS,2.14,2.5,16.99,EST,0,EQUITY,2018-02-16
19,SJM,The J. M. Smucker Company,2017-11-16T00:00:00.000Z,TNS,1.9,2.02,6.32,EST,0,EQUITY,2017-11-16
20,SJM,The J. M. Smucker Company,2017-08-24T00:00:00.000Z,TNS,1.62,1.51,-6.85,EST,0,EQUITY,2017-08-24
21,SJM,The J. M. Smucker Company,2017-06-08T00:00:00.000Z,TNS,1.72,1.8,4.53,EST,0,EQUITY,2017-06-08
22,SJM,The J. M. Smucker Company,2017-02-17T00:00:00.000Z,TNS,2.0,2.0,0.15,EST,0,EQUITY,2017-02-17
23,SJM,The J. M. Smucker Company,2016-11-17T00:00:00.000Z,TNS,1.93,2.05,6.27,EST,0,EQUITY,2016-11-17
24,SJM,The J. M. Smucker Company,2016-08-23T00:00:00.000Z,TNS,1.74,1.86,6.77,EST,0,EQUITY,2016-08-23
25,SJM,The J. M. Smucker Company,2016-06-09T00:00:00.000Z,TNS,1.2,1.44,20.1,EST,0,EQUITY,2016-06-09
26,SJM,The J. M. Smucker Company,2016-02-23T00:00:00.000Z,TNS,1.62,1.62,-0.12,EST,0,EQUITY,2016-02-23
27,SJM,The J. M. Smucker Company,2015-11-19T00:00:00.000Z,TNS,1.51,1.62,7.0,EST,0,EQUITY,2015-11-19
28,SJM,The J. M. Smucker Company,2015-08-27T00:00:00.000Z,TNS,1.23,1.32,7.76,EST,0,EQUITY,2015-08-27
29,SJM,The J. M. Smucker Company,2015-06-04T00:00:00.000Z,TNS,0.99,0.98,-0.71,EST,0,EQUITY,2015-06-04
30,SJM,The J. M. Smucker Company,2015-02-13T00:00:00.000Z,TNS,1.51,1.54,1.92,EST,0,EQUITY,2015-02-13
31,SJM,The J. M. Smucker Company,2014-11-19T00:00:00.000Z,TNS,1.53,1.53,-0.13,EST,0,EQUITY,2014-11-19
32,SJM,The J. M. Smucker Company,2014-08-20T00:00:00.000Z,TNS,1.37,1.34,-1.98,EST,0,EQUITY,2014-08-20
33,SJM,The J. M. Smucker Company,2014-06-05T00:00:00.000Z,TNS,1.16,1.21,4.27,EST,0,EQUITY,2014-06-05
34,SJM,The J. M. Smucker Company,2014-02-14T00:00:00.000Z,TNS,1.68,1.66,-1.24,EST,0,EQUITY,2014-02-14
35,SJM,The J. M. Smucker Company,2013-11-20T00:00:00.000Z,TNS,1.6,1.52,-5.07,EST,0,EQUITY,2013-11-20
36,SJM,The J. M. Smucker Company,2013-08-21T00:00:00.000Z,TNS,1.2,1.24,3.21,EST,0,EQUITY,2013-08-21
37,SJM,The J. M. Smucker Company,2013-06-06T00:00:00.000Z,TNS,1.16,1.29,11.69,EST,0,EQUITY,2013-06-06
38,SJM,The J. M. Smucker Company,2013-02-15T00:00:00.000Z,TNS,1.39,1.47,5.47,EST,0,EQUITY,2013-02-15
39,SJM,The J. M. Smucker Company,2012-11-16T00:00:00.000Z,TNS,1.45,1.45,-0.04,EST,0,EQUITY,2012-11-16
40,SJM,The J. M. Smucker Company,2012-08-17T00:00:00.000Z,TNS,1.0,1.17,16.92,EST,0,EQUITY,2012-08-17
41,SJM,The J. M. Smucker Company,2012-06-07T00:00:00.000Z,TNS,0.99,1.1,10.85,EST,0,EQUITY,2012-06-07
42,SJM,The J. M. Smucker Company,2012-02-16T00:00:00.000Z,TNS,1.41,1.22,-13.33,EST,0,EQUITY,2012-02-16
43,SJM,The J. M. Smucker Company,2011-11-17T00:00:00.000Z,TNS,1.39,1.36,-2.05,EST,0,EQUITY,2011-11-17
44,SJM,The J. M. Smucker Company,2011-08-18T00:00:00.000Z,TNS,1.09,1.12,3.23,EST,0,EQUITY,2011-08-18
45,SJM,The J. M. Smucker Company,2011-06-09T00:00:00.000Z,TNS,0.99,1.0,1.52,EST,0,EQUITY,2011-06-09
46,SJM,The J. M. Smucker Company,2011-02-17T00:00:00.000Z,TNS,1.26,1.37,8.59,EST,0,EQUITY,2011-02-17
47,SJM,The J. M. Smucker Company,2010-11-18T00:00:00.000Z,TNS,1.32,1.38,4.35,EST,0,EQUITY,2010-11-18
48,SJM,The J. M. Smucker Company,2010-08-20T00:00:00.000Z,TNS,0.96,1.04,8.23,EST,0,EQUITY,2010-08-20
49,SJM,The J. M. Smucker Company,2010-06-17T00:00:00.000Z,TNS,0.8,0.99,24.46,EST,0,EQUITY,2010-06-17
50,SJM,The J. M. Smucker Company,2010-02-24T00:00:00.000Z,TNS,1.05,1.22,16.63,EST,0,EQUITY,2010-02-24
51,SJM,The J. M. Smucker Company,2009-11-20T00:00:00.000Z,TNS,1.04,1.22,17.81,EST,0,EQUITY,2009-11-20
52,SJM,The J. M. Smucker Company,2009-08-21T00:00:00.000Z,TNS,0.8,0.92,14.79,EST,0,EQUITY,2009-08-21
53,SJM,The J. M. Smucker Company,2009-06-18T00:00:00.000Z,TNS,0.63,1.02,61.48,EST,0,EQUITY,2009-06-18
