,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,SMAR,Smartsheet Inc.,2021-12-02T00:00:00.000Z,TNS,-0.1,-0.03,71.43,EST,0,EQUITY,2021-12-02
1,SMAR,Smartsheet Inc.,2021-09-07T00:00:00.000Z,TNS,-0.13,-0.05,62.41,EST,0,EQUITY,2021-09-07
2,SMAR,Smartsheet Inc.,2021-06-02T00:00:00.000Z,TNS,-0.14,-0.09,36.62,EST,0,EQUITY,2021-06-02
3,SMAR,Smartsheet Inc.,2021-03-16T00:00:00.000Z,TNS,-0.13,-0.04,70.37,EST,0,EQUITY,2021-03-16
4,SMAR,Smartsheet Inc.,2020-12-07T00:00:00.000Z,TNS,-0.21,-0.12,44.19,EST,0,EQUITY,2020-12-07
5,SMAR,Smartsheet Inc.,2020-09-02T00:00:00.000Z,TNS,-0.16,-0.06,62.73,EST,0,EQUITY,2020-09-02
6,SMAR,Smartsheet Inc.,2020-06-03T00:00:00.000Z,TNS,-0.19,-0.11,43.3,EST,0,EQUITY,2020-06-03
7,SMAR,Smartsheet Inc.,2020-03-17T00:00:00.000Z,TNS,-0.16,-0.13,19.25,EST,0,EQUITY,2020-03-17
8,SMAR,Smartsheet Inc.,2019-12-04T00:00:00.000Z,TNS,-0.18,-0.15,17.13,EST,0,EQUITY,2019-12-04
9,SMAR,Smartsheet Inc.,2019-09-04T00:00:00.000Z,TNS,-0.16,-0.08,50.0,EST,0,EQUITY,2019-09-04
10,SMAR,Smartsheet Inc.,2019-06-05T00:00:00.000Z,TNS,-0.18,-0.12,33.7,EST,0,EQUITY,2019-06-05
11,SMAR,Smartsheet Inc.,2019-03-19T00:00:00.000Z,TNS,-0.14,-0.07,48.53,EST,0,EQUITY,2019-03-19
12,SMAR,Smartsheet Inc.,2018-12-03T00:00:00.000Z,TNS,-0.16,-0.09,43.04,EST,0,EQUITY,2018-12-03
13,SMAR,Smartsheet Inc.,2018-09-04T00:00:00.000Z,TNS,-0.13,-0.08,39.39,EST,0,EQUITY,2018-09-04
14,SMAR,Smartsheet Inc.,2018-06-04T00:00:00.000Z,TNS,-0.18,-0.12,33.33,EST,0,EQUITY,2018-06-04
