,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,SONY,Sony Group Corporation,2021-10-28T00:00:00.000Z,TNS,1.54,1.56,1.36,EST,0,EQUITY,2021-10-28
1,SONY,Sony Group Corporation,2021-08-04T00:00:00.000Z,TNS,1.03,1.56,50.92,EST,0,EQUITY,2021-08-04
2,SONY,Sony Group Corporation,2021-06-04T00:00:00.000Z,TNS,0.62,0.8,29.03,EST,0,EQUITY,2021-06-04
3,SONY,Sony Group Corporation,2021-02-03T00:00:00.000Z,TNS,0.8,2.88,262.31,EST,0,EQUITY,2021-02-03
4,SONY,Sony Group Corporation,2020-10-28T00:00:00.000Z,TNS,0.91,3.37,271.55,EST,0,EQUITY,2020-10-28
5,SONY,Sony Group Corporation,2020-08-04T00:00:00.000Z,TNS,0.44,1.72,290.91,EST,0,EQUITY,2020-08-04
6,SONY,Sony Group Corporation,2020-05-13T00:00:00.000Z,TNS,0.12,0.1,-13.33,EST,0,EQUITY,2020-05-13
7,SONY,Sony Group Corporation,2020-02-04T00:00:00.000Z,TNS,1.27,1.68,32.44,EST,0,EQUITY,2020-02-04
8,SONY,Sony Group Corporation,2019-10-30T00:00:00.000Z,TNS,1.14,1.38,21.4,EST,0,EQUITY,2019-10-30
9,SONY,Sony Group Corporation,2019-07-30T00:00:00.000Z,TNS,0.79,1.08,37.22,EST,0,EQUITY,2019-07-30
10,SONY,Sony Group Corporation,2019-04-26T00:00:00.000Z,TNS,0.19,0.62,225.79,EST,0,EQUITY,2019-04-26
11,SONY,Sony Group Corporation,2019-03-07T00:00:00.000Z,TNS,1.82,3.0,64.73,EST,0,EQUITY,2019-03-07
12,SONY,Sony Group Corporation,2018-10-30T00:00:00.000Z,TNS,0.91,1.2,31.54,EST,0,EQUITY,2018-10-30
13,SONY,Sony Group Corporation,2018-07-31T00:00:00.000Z,TNS,1.16,1.64,41.12,EST,0,EQUITY,2018-07-31
14,SONY,Sony Group Corporation,2018-04-27T00:00:00.000Z,TNS,-0.02,-0.12,-520.0,EST,0,EQUITY,2018-04-27
15,SONY,Sony Group Corporation,2018-02-02T00:00:00.000Z,TNS,1.15,2.06,79.22,EST,0,EQUITY,2018-02-02
16,SONY,Sony Group Corporation,2017-10-31T00:00:00.000Z,TNS,0.54,0.93,72.78,EST,0,EQUITY,2017-10-31
17,SONY,Sony Group Corporation,2017-08-01T00:00:00.000Z,TNS,0.48,0.56,16.67,EST,0,EQUITY,2017-08-01
