,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,SPTN,SpartanNash Co,2021-11-10T16:15:00.000Z,TAS,0.41,0.43,4.88,EST,-18000000,EQUITY,2021-11-10
4,SPTN,SpartanNash Company,2021-08-18T00:00:00.000Z,TNS,0.48,0.54,12.97,EST,0,EQUITY,2021-08-18
5,SPTN,SpartanNash Company,2021-06-02T00:00:00.000Z,TNS,0.56,0.56,-0.88,EST,0,EQUITY,2021-06-02
6,SPTN,SpartanNash Company,2021-02-24T00:00:00.000Z,TNS,0.45,0.43,-3.59,EST,0,EQUITY,2021-02-24
7,SPTN,SpartanNash Company,2020-11-11T00:00:00.000Z,TNS,0.62,0.7,12.9,EST,0,EQUITY,2020-11-11
8,SPTN,SpartanNash Company,2020-08-12T00:00:00.000Z,TNS,0.63,0.73,16.24,EST,0,EQUITY,2020-08-12
9,SPTN,SpartanNash Company,2020-05-27T00:00:00.000Z,TNS,0.48,0.67,41.05,EST,0,EQUITY,2020-05-27
10,SPTN,SpartanNash Company,2020-02-19T00:00:00.000Z,TNS,0.27,0.23,-13.53,EST,0,EQUITY,2020-02-19
11,SPTN,SpartanNash Company,2019-11-06T00:00:00.000Z,TNS,0.38,0.3,-20.21,EST,0,EQUITY,2019-11-06
12,SPTN,SpartanNash Company,2019-08-14T00:00:00.000Z,TNS,0.34,0.34,0.0,EST,0,EQUITY,2019-08-14
13,SPTN,SpartanNash Company,2019-05-20T00:00:00.000Z,TNS,0.32,0.24,-25.0,EST,0,EQUITY,2019-05-20
14,SPTN,SpartanNash Company,2019-02-20T00:00:00.000Z,TNS,0.38,0.32,-16.45,EST,0,EQUITY,2019-02-20
15,SPTN,SpartanNash Company,2018-11-07T00:00:00.000Z,TNS,0.48,0.5,3.31,EST,0,EQUITY,2018-11-07
16,SPTN,SpartanNash Company,2018-08-15T00:00:00.000Z,TNS,0.57,0.5,-11.66,EST,0,EQUITY,2018-08-15
17,SPTN,SpartanNash Company,2018-05-29T00:00:00.000Z,TNS,0.53,0.55,3.19,EST,0,EQUITY,2018-05-29
18,SPTN,SpartanNash Company,2018-02-21T00:00:00.000Z,TNS,0.41,0.41,0.99,EST,0,EQUITY,2018-02-21
19,SPTN,SpartanNash Company,2017-11-08T00:00:00.000Z,TNS,0.54,0.54,-0.55,EST,0,EQUITY,2017-11-08
20,SPTN,SpartanNash Company,2017-08-16T00:00:00.000Z,TNS,0.6,0.6,-0.5,EST,0,EQUITY,2017-08-16
21,SPTN,SpartanNash Company,2017-05-24T00:00:00.000Z,TNS,0.54,0.55,1.48,EST,0,EQUITY,2017-05-24
22,SPTN,SpartanNash Company,2017-02-22T00:00:00.000Z,TNS,0.48,0.53,9.73,EST,0,EQUITY,2017-02-22
23,SPTN,SpartanNash Company,2016-11-09T00:00:00.000Z,TNS,0.53,0.53,0.38,EST,0,EQUITY,2016-11-09
24,SPTN,SpartanNash Company,2016-08-17T00:00:00.000Z,TNS,0.57,0.58,1.05,EST,0,EQUITY,2016-08-17
25,SPTN,SpartanNash Company,2016-05-25T00:00:00.000Z,TNS,0.49,0.54,9.53,EST,0,EQUITY,2016-05-25
26,SPTN,SpartanNash Company,2016-02-24T00:00:00.000Z,TNS,0.44,0.52,18.72,EST,0,EQUITY,2016-02-24
27,SPTN,SpartanNash Company,2015-11-11T00:00:00.000Z,TNS,0.49,0.49,0.41,EST,0,EQUITY,2015-11-11
28,SPTN,SpartanNash Company,2015-08-19T00:00:00.000Z,TNS,0.51,0.53,3.92,EST,0,EQUITY,2015-08-19
29,SPTN,SpartanNash Company,2015-05-27T00:00:00.000Z,TNS,0.41,0.44,6.8,EST,0,EQUITY,2015-05-27
30,SPTN,SpartanNash Company,2015-03-03T00:00:00.000Z,TNS,0.42,0.49,16.67,EST,0,EQUITY,2015-03-03
31,SPTN,SpartanNash Company,2014-11-05T00:00:00.000Z,TNS,0.42,0.46,9.0,EST,0,EQUITY,2014-11-05
32,SPTN,SpartanNash Company,2014-08-13T00:00:00.000Z,TNS,0.43,0.5,15.21,EST,0,EQUITY,2014-08-13
33,SPTN,SpartanNash Company,2014-05-21T00:00:00.000Z,TNS,0.39,0.4,3.63,EST,0,EQUITY,2014-05-21
34,SPTN,SpartanNash Company,2014-03-05T00:00:00.000Z,TNS,0.25,0.4,61.29,EST,0,EQUITY,2014-03-05
35,SPTN,SpartanNash Company,2013-10-23T00:00:00.000Z,TNS,0.49,0.55,11.34,EST,0,EQUITY,2013-10-23
36,SPTN,SpartanNash Company,2013-07-31T00:00:00.000Z,TNS,0.27,0.3,12.15,EST,0,EQUITY,2013-07-31
37,SPTN,SpartanNash Company,2013-05-22T00:00:00.000Z,TNS,0.39,0.48,22.03,EST,0,EQUITY,2013-05-22
38,SPTN,SpartanNash Company,2013-02-13T00:00:00.000Z,TNS,0.24,0.24,1.41,EST,0,EQUITY,2013-02-13
39,SPTN,SpartanNash Company,2012-10-24T00:00:00.000Z,TNS,0.46,0.46,0.73,EST,0,EQUITY,2012-10-24
40,SPTN,SpartanNash Company,2012-08-01T00:00:00.000Z,TNS,0.27,0.35,28.68,EST,0,EQUITY,2012-08-01
41,SPTN,SpartanNash Company,2012-05-16T00:00:00.000Z,TNS,0.39,0.46,16.75,EST,0,EQUITY,2012-05-16
42,SPTN,SpartanNash Company,2012-02-08T00:00:00.000Z,TNS,0.21,0.22,3.13,EST,0,EQUITY,2012-02-08
43,SPTN,SpartanNash Company,2011-10-19T00:00:00.000Z,TNS,0.49,0.48,-2.7,EST,0,EQUITY,2011-10-19
44,SPTN,SpartanNash Company,2011-07-27T00:00:00.000Z,TNS,0.3,0.29,-3.33,EST,0,EQUITY,2011-07-27
45,SPTN,SpartanNash Company,2011-05-11T00:00:00.000Z,TNS,0.28,0.34,20.35,EST,0,EQUITY,2011-05-11
46,SPTN,SpartanNash Company,2011-02-02T00:00:00.000Z,TNS,0.26,0.24,-6.8,EST,0,EQUITY,2011-02-02
47,SPTN,SpartanNash Company,2010-10-13T00:00:00.000Z,TNS,0.44,0.47,6.21,EST,0,EQUITY,2010-10-13
48,SPTN,SpartanNash Company,2010-07-28T00:00:00.000Z,TNS,0.27,0.29,7.41,EST,0,EQUITY,2010-07-28
49,SPTN,SpartanNash Company,2010-05-12T00:00:00.000Z,TNS,0.22,0.29,30.34,EST,0,EQUITY,2010-05-12
50,SPTN,SpartanNash Company,2010-02-03T00:00:00.000Z,TNS,0.22,0.23,6.98,EST,0,EQUITY,2010-02-03
51,SPTN,SpartanNash Company,2009-10-14T00:00:00.000Z,TNS,0.46,0.47,2.17,EST,0,EQUITY,2009-10-14
52,SPTN,SpartanNash Company,2009-07-28T00:00:00.000Z,TNS,0.33,0.31,-6.77,EST,0,EQUITY,2009-07-28
53,SPTN,SpartanNash Company,2009-05-13T00:00:00.000Z,TNS,0.38,0.4,4.58,EST,0,EQUITY,2009-05-13
54,SPTN,SpartanNash Company,2009-02-04T00:00:00.000Z,TNS,0.39,0.4,1.7,EST,0,EQUITY,2009-02-04
55,SPTN,SpartanNash Company,2008-10-15T00:00:00.000Z,TNS,0.54,0.55,1.38,EST,0,EQUITY,2008-10-15
