,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,SRI,Stoneridge Inc,2021-10-27T17:08:24.000Z,TAS,-0.3,-0.27,10.0,EST,-18000000,EQUITY,2021-10-27
4,SRI,"Stoneridge, Inc.",2021-08-04T00:00:00.000Z,TNS,0.0,-0.14,,EST,0,EQUITY,2021-08-04
5,SRI,"Stoneridge, Inc.",2021-04-28T00:00:00.000Z,TNS,-0.03,0.06,281.82,EST,0,EQUITY,2021-04-28
6,SRI,"Stoneridge, Inc.",2021-02-24T00:00:00.000Z,TNS,0.02,0.14,600.0,EST,0,EQUITY,2021-02-24
7,SRI,"Stoneridge, Inc.",2020-10-28T00:00:00.000Z,TNS,-0.15,0.18,220.0,EST,0,EQUITY,2020-10-28
8,SRI,"Stoneridge, Inc.",2020-07-29T00:00:00.000Z,TNS,-0.66,-0.55,16.29,EST,0,EQUITY,2020-07-29
9,SRI,"Stoneridge, Inc.",2020-05-06T00:00:00.000Z,TNS,0.19,0.2,5.26,EST,0,EQUITY,2020-05-06
10,SRI,"Stoneridge, Inc.",2020-02-26T00:00:00.000Z,TNS,0.35,0.3,-14.77,EST,0,EQUITY,2020-02-26
11,SRI,"Stoneridge, Inc.",2019-10-30T00:00:00.000Z,TNS,0.37,0.37,-1.07,EST,0,EQUITY,2019-10-30
12,SRI,"Stoneridge, Inc.",2019-07-31T00:00:00.000Z,TNS,0.26,0.36,38.46,EST,0,EQUITY,2019-07-31
13,SRI,"Stoneridge, Inc.",2019-05-01T00:00:00.000Z,TNS,0.35,0.44,25.71,EST,0,EQUITY,2019-05-01
14,SRI,"Stoneridge, Inc.",2019-02-27T00:00:00.000Z,TNS,0.44,0.47,6.82,EST,0,EQUITY,2019-02-27
15,SRI,"Stoneridge, Inc.",2018-10-26T00:00:00.000Z,TNS,0.44,0.47,7.8,EST,0,EQUITY,2018-10-26
16,SRI,"Stoneridge, Inc.",2018-08-01T00:00:00.000Z,TNS,0.53,0.55,4.56,EST,0,EQUITY,2018-08-01
17,SRI,"Stoneridge, Inc.",2018-05-02T00:00:00.000Z,TNS,0.45,0.5,11.11,EST,0,EQUITY,2018-05-02
18,SRI,"Stoneridge, Inc.",2018-02-28T00:00:00.000Z,TNS,0.39,0.42,7.69,EST,0,EQUITY,2018-02-28
19,SRI,"Stoneridge, Inc.",2017-11-01T00:00:00.000Z,TNS,0.32,0.36,13.56,EST,0,EQUITY,2017-11-01
20,SRI,"Stoneridge, Inc.",2017-08-02T00:00:00.000Z,TNS,0.32,0.42,32.49,EST,0,EQUITY,2017-08-02
21,SRI,"Stoneridge, Inc.",2017-05-03T00:00:00.000Z,TNS,0.33,0.38,14.11,EST,0,EQUITY,2017-05-03
22,SRI,"Stoneridge, Inc.",2017-03-02T00:00:00.000Z,TNS,0.3,0.34,15.25,EST,0,EQUITY,2017-03-02
23,SRI,"Stoneridge, Inc.",2016-10-27T00:00:00.000Z,TNS,0.36,0.36,0.84,EST,0,EQUITY,2016-10-27
24,SRI,"Stoneridge, Inc.",2016-08-02T00:00:00.000Z,TNS,0.32,0.41,26.93,EST,0,EQUITY,2016-08-02
25,SRI,"Stoneridge, Inc.",2016-05-04T00:00:00.000Z,TNS,0.23,0.31,35.96,EST,0,EQUITY,2016-05-04
26,SRI,"Stoneridge, Inc.",2016-03-01T00:00:00.000Z,TNS,0.22,0.25,14.68,EST,0,EQUITY,2016-03-01
27,SRI,"Stoneridge, Inc.",2015-11-03T00:00:00.000Z,TNS,0.21,0.27,26.76,EST,0,EQUITY,2015-11-03
