,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,STKL,SunOpta Inc.,2021-08-11T00:00:00.000Z,TNS,0.0,0.0,,EST,0,EQUITY,2021-08-11
3,STKL,SunOpta Inc.,2021-05-12T00:00:00.000Z,TNS,0.01,0.01,100.0,EST,0,EQUITY,2021-05-12
4,STKL,SunOpta Inc.,2021-03-03T00:00:00.000Z,TNS,0.01,0.01,0.0,EST,0,EQUITY,2021-03-03
5,STKL,SunOpta Inc.,2020-10-29T00:00:00.000Z,TNS,-0.05,-0.01,80.0,EST,0,EQUITY,2020-10-29
6,STKL,SunOpta Inc.,2020-08-05T00:00:00.000Z,TNS,-0.06,-0.02,68.25,EST,0,EQUITY,2020-08-05
7,STKL,SunOpta Inc.,2020-05-06T00:00:00.000Z,TNS,-0.01,0.01,166.67,EST,0,EQUITY,2020-05-06
8,STKL,SunOpta Inc.,2020-02-27T00:00:00.000Z,TNS,-0.09,-0.06,31.03,EST,0,EQUITY,2020-02-27
9,STKL,SunOpta Inc.,2019-11-06T00:00:00.000Z,TNS,-0.11,-0.11,0.0,EST,0,EQUITY,2019-11-06
10,STKL,SunOpta Inc.,2019-08-07T00:00:00.000Z,TNS,-0.09,-0.1,-13.64,EST,0,EQUITY,2019-08-07
11,STKL,SunOpta Inc.,2019-05-08T00:00:00.000Z,TNS,-0.09,-0.09,-3.45,EST,0,EQUITY,2019-05-08
12,STKL,SunOpta Inc.,2019-02-26T00:00:00.000Z,TNS,-0.06,-0.11,-80.33,EST,0,EQUITY,2019-02-26
13,STKL,SunOpta Inc.,2018-11-07T00:00:00.000Z,TNS,-0.02,-0.04,-90.48,EST,0,EQUITY,2018-11-07
14,STKL,SunOpta Inc.,2018-08-08T00:00:00.000Z,TNS,-0.03,-0.06,-130.77,EST,0,EQUITY,2018-08-08
15,STKL,SunOpta Inc.,2018-05-09T00:00:00.000Z,TNS,-0.05,-0.07,-32.08,EST,0,EQUITY,2018-05-09
16,STKL,SunOpta Inc.,2018-02-27T00:00:00.000Z,TNS,-0.04,-0.1,-122.22,EST,0,EQUITY,2018-02-27
17,STKL,SunOpta Inc.,2017-11-08T00:00:00.000Z,TNS,0.02,-0.02,-195.24,EST,0,EQUITY,2017-11-08
18,STKL,SunOpta Inc.,2017-08-09T00:00:00.000Z,TNS,0.03,-0.01,-130.3,EST,0,EQUITY,2017-08-09
19,STKL,SunOpta Inc.,2017-05-10T00:00:00.000Z,TNS,0.0,-0.01,-100.0,EST,0,EQUITY,2017-05-10
20,STKL,SunOpta Inc.,2017-03-01T00:00:00.000Z,TNS,0.05,-0.08,-253.85,EST,0,EQUITY,2017-03-01
21,STKL,SunOpta Inc.,2016-11-09T00:00:00.000Z,TNS,0.06,0.07,16.67,EST,0,EQUITY,2016-11-09
22,STKL,SunOpta Inc.,2016-08-10T00:00:00.000Z,TNS,0.07,0.05,-27.54,EST,0,EQUITY,2016-08-10
23,STKL,SunOpta Inc.,2016-05-10T00:00:00.000Z,TNS,0.04,0.03,-23.08,EST,0,EQUITY,2016-05-10
24,STKL,SunOpta Inc.,2016-03-01T00:00:00.000Z,TNS,0.05,0.03,-41.18,EST,0,EQUITY,2016-03-01
25,STKL,SunOpta Inc.,2015-11-10T00:00:00.000Z,TNS,0.07,0.08,15.94,EST,0,EQUITY,2015-11-10
26,STKL,SunOpta Inc.,2015-08-12T00:00:00.000Z,TNS,0.11,0.08,-27.27,EST,0,EQUITY,2015-08-12
27,STKL,SunOpta Inc.,2015-05-12T00:00:00.000Z,TNS,0.07,0.08,8.11,EST,0,EQUITY,2015-05-12
28,STKL,SunOpta Inc.,2015-03-02T00:00:00.000Z,TNS,0.1,0.06,-40.0,EST,0,EQUITY,2015-03-02
29,STKL,SunOpta Inc.,2014-11-11T00:00:00.000Z,TNS,0.11,0.12,5.26,EST,0,EQUITY,2014-11-11
30,STKL,SunOpta Inc.,2014-08-12T00:00:00.000Z,TNS,0.12,0.13,6.12,EST,0,EQUITY,2014-08-12
31,STKL,SunOpta Inc.,2014-05-13T00:00:00.000Z,TNS,0.08,0.1,31.15,EST,0,EQUITY,2014-05-13
32,STKL,SunOpta Inc.,2014-03-04T00:00:00.000Z,TNS,0.04,0.03,-31.82,EST,0,EQUITY,2014-03-04
33,STKL,SunOpta Inc.,2013-11-05T00:00:00.000Z,TNS,0.1,0.07,-32.26,EST,0,EQUITY,2013-11-05
34,STKL,SunOpta Inc.,2013-08-07T00:00:00.000Z,TNS,0.1,0.1,-2.44,EST,0,EQUITY,2013-08-07
35,STKL,SunOpta Inc.,2013-05-07T00:00:00.000Z,TNS,0.08,0.09,6.77,EST,0,EQUITY,2013-05-07
36,STKL,SunOpta Inc.,2013-03-05T00:00:00.000Z,TNS,0.09,0.06,-33.33,EST,0,EQUITY,2013-03-05
37,STKL,SunOpta Inc.,2012-11-06T00:00:00.000Z,TNS,0.09,0.09,-4.0,EST,0,EQUITY,2012-11-06
38,STKL,SunOpta Inc.,2012-08-09T00:00:00.000Z,TNS,0.1,0.11,6.94,EST,0,EQUITY,2012-08-09
39,STKL,SunOpta Inc.,2012-05-08T00:00:00.000Z,TNS,0.08,0.09,18.87,EST,0,EQUITY,2012-05-08
40,STKL,SunOpta Inc.,2012-03-06T00:00:00.000Z,TNS,0.06,0.07,9.8,EST,0,EQUITY,2012-03-06
41,STKL,SunOpta Inc.,2011-11-08T00:00:00.000Z,TNS,0.08,0.08,-1.54,EST,0,EQUITY,2011-11-08
42,STKL,SunOpta Inc.,2011-08-09T00:00:00.000Z,TNS,0.1,0.07,-26.86,EST,0,EQUITY,2011-08-09
43,STKL,SunOpta Inc.,2011-05-11T00:00:00.000Z,TNS,0.08,0.08,0.0,EST,0,EQUITY,2011-05-11
44,STKL,SunOpta Inc.,2011-03-08T00:00:00.000Z,TNS,0.07,0.08,14.29,EST,0,EQUITY,2011-03-08
45,STKL,SunOpta Inc.,2010-11-10T00:00:00.000Z,TNS,0.08,0.08,0.0,EST,0,EQUITY,2010-11-10
46,STKL,SunOpta Inc.,2010-08-10T00:00:00.000Z,TNS,0.07,0.11,60.0,EST,0,EQUITY,2010-08-10
47,STKL,SunOpta Inc.,2010-05-12T00:00:00.000Z,TNS,0.04,0.07,64.71,EST,0,EQUITY,2010-05-12
48,STKL,SunOpta Inc.,2010-03-09T00:00:00.000Z,TNS,0.03,0.06,100.0,EST,0,EQUITY,2010-03-09
49,STKL,SunOpta Inc.,2009-11-05T00:00:00.000Z,TNS,0.04,0.03,-31.82,EST,0,EQUITY,2009-11-05
50,STKL,SunOpta Inc.,2009-08-06T00:00:00.000Z,TNS,0.03,0.03,7.14,EST,0,EQUITY,2009-08-06
51,STKL,SunOpta Inc.,2009-05-07T00:00:00.000Z,TNS,0.0,-0.03,-1400.0,EST,0,EQUITY,2009-05-07
52,STKL,SunOpta Inc.,2009-03-05T00:00:00.000Z,TNS,-0.02,-0.02,-19.98,EST,0,EQUITY,2009-03-05
53,STKL,SunOpta Inc.,2008-11-05T00:00:00.000Z,TNS,0.06,0.06,-3.23,EST,0,EQUITY,2008-11-05
54,STKL,SunOpta Inc.,2008-08-11T00:00:00.000Z,TNS,0.06,0.08,28.0,EST,0,EQUITY,2008-08-11
55,STKL,SunOpta Inc.,2008-07-29T00:00:00.000Z,TNS,0.03,0.04,23.08,EST,0,EQUITY,2008-07-29
56,STKL,SunOpta Inc.,2008-07-21T00:00:00.000Z,TNS,-0.15,-0.11,29.03,EST,0,EQUITY,2008-07-21
57,STKL,SunOpta Inc.,2007-11-06T00:00:00.000Z,TNS,0.09,0.08,-14.89,EST,0,EQUITY,2007-11-06
58,STKL,SunOpta Inc.,2007-08-08T00:00:00.000Z,TNS,0.11,0.11,2.33,EST,0,EQUITY,2007-08-08
59,STKL,SunOpta Inc.,2007-05-08T00:00:00.000Z,TNS,0.06,0.06,0.0,EST,0,EQUITY,2007-05-08
60,STKL,SunOpta Inc.,2007-02-22T00:00:00.000Z,TNS,0.07,0.04,-40.0,EST,0,EQUITY,2007-02-22
61,STKL,SunOpta Inc.,2006-11-01T00:00:00.000Z,TNS,0.05,0.03,-40.0,EST,0,EQUITY,2006-11-01
62,STKL,SunOpta Inc.,2006-08-02T00:00:00.000Z,TNS,0.09,0.08,-5.88,EST,0,EQUITY,2006-08-02
63,STKL,SunOpta Inc.,2006-05-02T00:00:00.000Z,TNS,0.05,0.05,-7.41,EST,0,EQUITY,2006-05-02
64,STKL,SunOpta Inc.,2006-02-22T00:00:00.000Z,TNS,0.04,0.04,5.26,EST,0,EQUITY,2006-02-22
65,STKL,SunOpta Inc.,2005-11-02T00:00:00.000Z,TNS,0.06,0.04,-31.42,EST,0,EQUITY,2005-11-02
66,STKL,SunOpta Inc.,2005-08-08T00:00:00.000Z,TNS,0.07,0.06,-16.28,EST,0,EQUITY,2005-08-08
67,STKL,SunOpta Inc.,2005-05-04T00:00:00.000Z,TNS,0.05,0.04,-25.0,EST,0,EQUITY,2005-05-04
68,STKL,SunOpta Inc.,2005-03-08T00:00:00.000Z,TNS,0.06,0.04,-33.33,EST,0,EQUITY,2005-03-08
69,STKL,SunOpta Inc.,2004-11-03T00:00:00.000Z,TNS,0.07,0.05,-23.08,EST,0,EQUITY,2004-11-03
70,STKL,SunOpta Inc.,2004-08-09T00:00:00.000Z,TNS,0.07,0.07,-2.33,EST,0,EQUITY,2004-08-09
71,STKL,SunOpta Inc.,2004-05-05T00:00:00.000Z,TNS,0.04,0.03,-25.0,EST,0,EQUITY,2004-05-05
72,STKL,SunOpta Inc.,2004-03-11T00:00:00.000Z,TNS,0.04,0.06,41.18,EST,0,EQUITY,2004-03-11
73,STKL,SunOpta Inc.,2003-11-05T00:00:00.000Z,TNS,0.05,0.04,-23.08,EST,0,EQUITY,2003-11-05
74,STKL,SunOpta Inc.,2003-08-07T00:00:00.000Z,TNS,0.04,0.05,15.39,EST,0,EQUITY,2003-08-07
75,STKL,SunOpta Inc.,2003-05-07T00:00:00.000Z,TNS,0.03,0.03,0.0,EST,0,EQUITY,2003-05-07
76,STKL,SunOpta Inc.,2003-03-20T00:00:00.000Z,TNS,0.0,0.0,,EST,0,EQUITY,2003-03-20
77,STKL,SunOpta Inc.,1997-12-30T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,1997-12-30
78,STKL,SunOpta Inc.,1997-05-20T00:00:00.000Z,TNS,0.0,-0.01,,EST,0,EQUITY,1997-05-20
79,STKL,SunOpta Inc.,1997-03-31T00:00:00.000Z,TNS,0.0,-0.01,,EST,0,EQUITY,1997-03-31
80,STKL,SunOpta Inc.,1997-01-09T00:00:00.000Z,TNS,0.0,0.0,,EST,0,EQUITY,1997-01-09
