,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,STZ,Constellation Brands Inc,2021-10-06T12:30:00.000Z,BMO,2.77,2.38,-14.08,EST,-18000000,EQUITY,2021-10-06
2,STZ,"Constellation Brands, Inc.",2021-06-30T00:00:00.000Z,TNS,2.34,2.33,-0.3,EST,0,EQUITY,2021-06-30
3,STZ,"Constellation Brands, Inc.",2021-04-08T00:00:00.000Z,TNS,1.55,1.82,17.27,EST,0,EQUITY,2021-04-08
4,STZ,"Constellation Brands, Inc.",2021-01-07T00:00:00.000Z,TNS,2.39,3.09,29.23,EST,0,EQUITY,2021-01-07
5,STZ,"Constellation Brands, Inc.",2020-10-01T00:00:00.000Z,TNS,2.51,2.76,10.09,EST,0,EQUITY,2020-10-01
6,STZ,"Constellation Brands, Inc.",2020-07-01T00:00:00.000Z,TNS,2.01,2.3,14.37,EST,0,EQUITY,2020-07-01
7,STZ,"Constellation Brands, Inc.",2020-04-03T00:00:00.000Z,TNS,1.65,2.06,25.08,EST,0,EQUITY,2020-04-03
8,STZ,"Constellation Brands, Inc.",2020-01-08T00:00:00.000Z,TNS,1.83,2.14,16.75,EST,0,EQUITY,2020-01-08
9,STZ,"Constellation Brands, Inc.",2019-10-03T00:00:00.000Z,TNS,2.6,2.72,4.49,EST,0,EQUITY,2019-10-03
10,STZ,"Constellation Brands, Inc.",2019-06-28T00:00:00.000Z,TNS,2.05,2.21,7.91,EST,0,EQUITY,2019-06-28
11,STZ,"Constellation Brands, Inc.",2019-04-04T00:00:00.000Z,TNS,1.71,1.84,7.41,EST,0,EQUITY,2019-04-04
12,STZ,"Constellation Brands, Inc.",2019-01-09T00:00:00.000Z,TNS,2.06,2.37,14.99,EST,0,EQUITY,2019-01-09
13,STZ,"Constellation Brands, Inc.",2018-10-04T00:00:00.000Z,TNS,2.6,2.87,10.6,EST,0,EQUITY,2018-10-04
14,STZ,"Constellation Brands, Inc.",2018-06-29T00:00:00.000Z,TNS,2.43,2.2,-9.54,EST,0,EQUITY,2018-06-29
15,STZ,"Constellation Brands, Inc.",2018-03-29T00:00:00.000Z,TNS,1.75,1.9,8.88,EST,0,EQUITY,2018-03-29
16,STZ,"Constellation Brands, Inc.",2018-01-05T00:00:00.000Z,TNS,1.89,2.0,5.76,EST,0,EQUITY,2018-01-05
17,STZ,"Constellation Brands, Inc.",2017-10-05T00:00:00.000Z,TNS,2.17,2.47,14.09,EST,0,EQUITY,2017-10-05
18,STZ,"Constellation Brands, Inc.",2017-06-29T00:00:00.000Z,TNS,1.98,2.34,18.42,EST,0,EQUITY,2017-06-29
19,STZ,"Constellation Brands, Inc.",2017-04-06T00:00:00.000Z,TNS,1.36,1.48,8.5,EST,0,EQUITY,2017-04-06
20,STZ,"Constellation Brands, Inc.",2017-01-05T00:00:00.000Z,TNS,1.72,1.96,14.15,EST,0,EQUITY,2017-01-05
21,STZ,"Constellation Brands, Inc.",2016-10-05T00:00:00.000Z,TNS,1.65,1.77,7.21,EST,0,EQUITY,2016-10-05
22,STZ,"Constellation Brands, Inc.",2016-06-30T00:00:00.000Z,TNS,1.52,1.54,1.45,EST,0,EQUITY,2016-06-30
