,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,SUM,Summit Materials Inc,2021-11-03T16:15:01.000Z,TAS,0.64,0.68,6.25,EST,-18000000,EQUITY,2021-11-03
2,SUM,"Summit Materials, Inc.",2021-08-04T00:00:00.000Z,TNS,0.52,0.49,-4.85,EST,0,EQUITY,2021-08-04
3,SUM,"Summit Materials, Inc.",2021-05-10T00:00:00.000Z,TNS,-0.47,-0.33,30.23,EST,0,EQUITY,2021-05-10
4,SUM,"Summit Materials, Inc.",2021-02-23T00:00:00.000Z,TNS,0.17,0.25,45.35,EST,0,EQUITY,2021-02-23
5,SUM,"Summit Materials, Inc.",2020-10-27T00:00:00.000Z,TNS,0.65,0.55,-14.99,EST,0,EQUITY,2020-10-27
6,SUM,"Summit Materials, Inc.",2020-07-21T00:00:00.000Z,TNS,0.25,0.5,103.25,EST,0,EQUITY,2020-07-21
7,SUM,"Summit Materials, Inc.",2020-04-29T00:00:00.000Z,TNS,-0.47,-0.48,-2.35,EST,0,EQUITY,2020-04-29
8,SUM,"Summit Materials, Inc.",2020-02-05T00:00:00.000Z,TNS,0.12,0.62,416.67,EST,0,EQUITY,2020-02-05
9,SUM,"Summit Materials, Inc.",2019-10-30T00:00:00.000Z,TNS,0.73,0.5,-31.03,EST,0,EQUITY,2019-10-30
10,SUM,"Summit Materials, Inc.",2019-08-01T00:00:00.000Z,TNS,0.38,0.31,-17.99,EST,0,EQUITY,2019-08-01
11,SUM,"Summit Materials, Inc.",2019-05-08T00:00:00.000Z,TNS,-0.58,-0.49,16.1,EST,0,EQUITY,2019-05-08
12,SUM,"Summit Materials, Inc.",2019-02-06T00:00:00.000Z,TNS,0.07,-0.16,-335.29,EST,0,EQUITY,2019-02-06
13,SUM,"Summit Materials, Inc.",2018-11-06T00:00:00.000Z,TNS,0.71,0.54,-23.94,EST,0,EQUITY,2018-11-06
14,SUM,"Summit Materials, Inc.",2018-08-01T00:00:00.000Z,TNS,0.53,0.32,-39.51,EST,0,EQUITY,2018-08-01
15,SUM,"Summit Materials, Inc.",2018-05-08T00:00:00.000Z,TNS,-0.6,-0.55,8.33,EST,0,EQUITY,2018-05-08
16,SUM,"Summit Materials, Inc.",2018-02-14T00:00:00.000Z,TNS,0.24,0.46,88.52,EST,0,EQUITY,2018-02-14
17,SUM,"Summit Materials, Inc.",2017-10-30T00:00:00.000Z,TNS,0.82,0.72,-11.87,EST,0,EQUITY,2017-10-30
18,SUM,"Summit Materials, Inc.",2017-08-02T00:00:00.000Z,TNS,0.53,0.47,-11.42,EST,0,EQUITY,2017-08-02
19,SUM,"Summit Materials, Inc.",2017-05-03T00:00:00.000Z,TNS,-0.49,-0.49,-1.02,EST,0,EQUITY,2017-05-03
20,SUM,"Summit Materials, Inc.",2017-02-22T00:00:00.000Z,TNS,0.25,0.21,-17.2,EST,0,EQUITY,2017-02-22
21,SUM,"Summit Materials, Inc.",2016-11-02T00:00:00.000Z,TNS,0.68,0.71,4.41,EST,0,EQUITY,2016-11-02
22,SUM,"Summit Materials, Inc.",2016-08-03T00:00:00.000Z,TNS,0.46,0.45,-3.03,EST,0,EQUITY,2016-08-03
23,SUM,"Summit Materials, Inc.",2016-05-04T00:00:00.000Z,TNS,-0.47,-0.41,12.42,EST,0,EQUITY,2016-05-04
24,SUM,"Summit Materials, Inc.",2016-02-11T00:00:00.000Z,TNS,0.25,0.33,34.55,EST,0,EQUITY,2016-02-11
25,SUM,"Summit Materials, Inc.",2015-11-03T00:00:00.000Z,TNS,0.65,0.7,7.68,EST,0,EQUITY,2015-11-03
26,SUM,"Summit Materials, Inc.",2015-08-03T00:00:00.000Z,TNS,0.31,0.31,0.0,EST,0,EQUITY,2015-08-03
27,SUM,"Summit Materials, Inc.",2015-05-05T00:00:00.000Z,TNS,-1.01,-0.08,92.26,EST,0,EQUITY,2015-05-05
