,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,TCS,Container Store Group Inc,2021-11-02T16:05:00.000Z,TAS,0.29,0.54,86.21,EST,-18000000,EQUITY,2021-11-02
2,TCS,"The Container Store Group, Inc.",2021-08-03T00:00:00.000Z,TNS,0.09,0.36,313.79,EST,0,EQUITY,2021-08-03
3,TCS,"The Container Store Group, Inc.",2021-05-18T00:00:00.000Z,TNS,0.57,0.71,25.22,EST,0,EQUITY,2021-05-18
4,TCS,"The Container Store Group, Inc.",2021-02-02T00:00:00.000Z,TNS,0.33,0.42,28.44,EST,0,EQUITY,2021-02-02
5,TCS,"The Container Store Group, Inc.",2020-10-20T00:00:00.000Z,TNS,0.03,0.43,1333.33,EST,0,EQUITY,2020-10-20
6,TCS,"The Container Store Group, Inc.",2020-07-28T00:00:00.000Z,TNS,-0.25,-0.32,-28.0,EST,0,EQUITY,2020-07-28
7,TCS,"The Container Store Group, Inc.",2020-06-17T00:00:00.000Z,TNS,0.31,0.26,-16.13,EST,0,EQUITY,2020-06-17
8,TCS,"The Container Store Group, Inc.",2020-02-04T00:00:00.000Z,TNS,0.05,0.05,-5.66,EST,0,EQUITY,2020-02-04
9,TCS,"The Container Store Group, Inc.",2019-10-29T00:00:00.000Z,TNS,0.09,0.08,-13.98,EST,0,EQUITY,2019-10-29
10,TCS,"The Container Store Group, Inc.",2019-07-30T00:00:00.000Z,TNS,-0.1,-0.08,20.0,EST,0,EQUITY,2019-07-30
11,TCS,"The Container Store Group, Inc.",2019-05-14T00:00:00.000Z,TNS,0.3,0.33,10.0,EST,0,EQUITY,2019-05-14
12,TCS,"The Container Store Group, Inc.",2019-02-05T00:00:00.000Z,TNS,0.12,0.07,-41.67,EST,0,EQUITY,2019-02-05
13,TCS,"The Container Store Group, Inc.",2018-10-30T00:00:00.000Z,TNS,0.14,0.1,-28.57,EST,0,EQUITY,2018-10-30
14,TCS,"The Container Store Group, Inc.",2018-07-31T00:00:00.000Z,TNS,-0.12,-0.08,36.0,EST,0,EQUITY,2018-07-31
15,TCS,"The Container Store Group, Inc.",2018-05-22T00:00:00.000Z,TNS,0.23,0.18,-21.05,EST,0,EQUITY,2018-05-22
16,TCS,"The Container Store Group, Inc.",2018-02-06T00:00:00.000Z,TNS,0.13,0.11,-15.38,EST,0,EQUITY,2018-02-06
17,TCS,"The Container Store Group, Inc.",2017-11-07T00:00:00.000Z,TNS,0.06,0.12,100.0,EST,0,EQUITY,2017-11-07
18,TCS,"The Container Store Group, Inc.",2017-08-02T00:00:00.000Z,TNS,-0.12,-0.1,18.03,EST,0,EQUITY,2017-08-02
19,TCS,"The Container Store Group, Inc.",2017-05-23T00:00:00.000Z,TNS,0.09,0.17,95.4,EST,0,EQUITY,2017-05-23
20,TCS,"The Container Store Group, Inc.",2017-02-07T00:00:00.000Z,TNS,0.11,0.11,3.77,EST,0,EQUITY,2017-02-07
21,TCS,"The Container Store Group, Inc.",2016-11-09T00:00:00.000Z,TNS,0.05,0.07,40.0,EST,0,EQUITY,2016-11-09
22,TCS,"The Container Store Group, Inc.",2016-08-09T00:00:00.000Z,TNS,-0.1,-0.04,58.76,EST,0,EQUITY,2016-08-09
28,TCS,"The Container Store Group, Inc.",2015-04-27T00:00:00.000Z,TNS,0.31,0.24,-22.12,EST,0,EQUITY,2015-04-27
29,TCS,"The Container Store Group, Inc.",2015-01-08T00:00:00.000Z,TNS,0.07,0.07,-2.55,EST,0,EQUITY,2015-01-08
30,TCS,"The Container Store Group, Inc.",2014-10-06T00:00:00.000Z,TNS,0.11,0.11,-0.08,EST,0,EQUITY,2014-10-06
31,TCS,"The Container Store Group, Inc.",2014-07-08T00:00:00.000Z,TNS,-0.06,-0.07,-21.61,EST,0,EQUITY,2014-07-08
32,TCS,"The Container Store Group, Inc.",2014-04-28T00:00:00.000Z,TNS,0.27,0.22,-17.02,EST,0,EQUITY,2014-04-28
33,TCS,"The Container Store Group, Inc.",2014-01-07T00:00:00.000Z,TNS,0.08,0.11,38.49,EST,0,EQUITY,2014-01-07
