,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,TG,Tredegar Corporation,2017-02-22T00:00:00.000Z,TNS,0.21,0.1,-52.83,EST,0,EQUITY,2017-02-22
5,TG,Tredegar Corporation,2016-11-01T00:00:00.000Z,TNS,0.24,0.22,-9.84,EST,0,EQUITY,2016-11-01
6,TG,Tredegar Corporation,2016-08-02T00:00:00.000Z,TNS,0.24,0.13,-44.68,EST,0,EQUITY,2016-08-02
7,TG,Tredegar Corporation,2016-05-03T00:00:00.000Z,TNS,0.18,0.23,27.78,EST,0,EQUITY,2016-05-03
8,TG,Tredegar Corporation,2016-02-29T00:00:00.000Z,TNS,0.16,0.34,115.19,EST,0,EQUITY,2016-02-29
9,TG,Tredegar Corporation,2015-11-09T00:00:00.000Z,TNS,0.14,0.28,100.0,EST,0,EQUITY,2015-11-09
10,TG,Tredegar Corporation,2015-07-30T00:00:00.000Z,TNS,0.26,0.1,-62.12,EST,0,EQUITY,2015-07-30
14,TG,Tredegar Corporation,2014-02-24T00:00:00.000Z,TNS,0.27,0.27,0.0,EST,0,EQUITY,2014-02-24
15,TG,Tredegar Corporation,2013-11-04T00:00:00.000Z,TNS,0.31,0.3,-3.23,EST,0,EQUITY,2013-11-04
16,TG,Tredegar Corporation,2013-08-01T00:00:00.000Z,TNS,0.31,0.3,-3.23,EST,0,EQUITY,2013-08-01
17,TG,Tredegar Corporation,2013-05-02T00:00:00.000Z,TNS,0.35,0.28,-20.0,EST,0,EQUITY,2013-05-02
18,TG,Tredegar Corporation,2013-02-14T00:00:00.000Z,TNS,0.21,0.3,42.86,EST,0,EQUITY,2013-02-14
19,TG,Tredegar Corporation,2012-11-01T00:00:00.000Z,TNS,0.26,0.42,61.54,EST,0,EQUITY,2012-11-01
20,TG,Tredegar Corporation,2012-08-01T00:00:00.000Z,TNS,0.26,0.23,-11.54,EST,0,EQUITY,2012-08-01
21,TG,Tredegar Corporation,2012-05-03T00:00:00.000Z,TNS,0.3,0.26,-13.33,EST,0,EQUITY,2012-05-03
22,TG,Tredegar Corporation,2012-03-01T00:00:00.000Z,TNS,0.18,0.21,16.67,EST,0,EQUITY,2012-03-01
23,TG,Tredegar Corporation,2011-11-02T00:00:00.000Z,TNS,0.24,0.26,8.33,EST,0,EQUITY,2011-11-02
24,TG,Tredegar Corporation,2011-08-03T00:00:00.000Z,TNS,0.3,0.21,-30.0,EST,0,EQUITY,2011-08-03
25,TG,Tredegar Corporation,2011-05-04T00:00:00.000Z,TNS,0.27,0.21,-22.22,EST,0,EQUITY,2011-05-04
26,TG,Tredegar Corporation,2011-02-10T00:00:00.000Z,TNS,0.23,0.28,21.74,EST,0,EQUITY,2011-02-10
27,TG,Tredegar Corporation,2010-11-02T00:00:00.000Z,TNS,0.29,0.31,8.01,EST,0,EQUITY,2010-11-02
28,TG,Tredegar Corporation,2010-08-03T00:00:00.000Z,TNS,0.16,0.19,18.75,EST,0,EQUITY,2010-08-03
29,TG,Tredegar Corporation,2010-05-04T00:00:00.000Z,TNS,0.15,0.17,13.33,EST,0,EQUITY,2010-05-04
30,TG,Tredegar Corporation,2010-02-12T00:00:00.000Z,TNS,0.2,0.15,-25.0,EST,0,EQUITY,2010-02-12
31,TG,Tredegar Corporation,2009-11-02T00:00:00.000Z,TNS,0.19,0.31,63.16,EST,0,EQUITY,2009-11-02
32,TG,Tredegar Corporation,2009-08-03T00:00:00.000Z,TNS,0.16,0.25,56.25,EST,0,EQUITY,2009-08-03
33,TG,Tredegar Corporation,2009-05-06T00:00:00.000Z,TNS,0.26,0.14,-46.15,EST,0,EQUITY,2009-05-06
34,TG,Tredegar Corporation,2009-02-12T00:00:00.000Z,TNS,0.16,0.3,87.5,EST,0,EQUITY,2009-02-12
35,TG,Tredegar Corporation,2008-11-04T00:00:00.000Z,TNS,0.24,0.18,-25.0,EST,0,EQUITY,2008-11-04
36,TG,Tredegar Corporation,2008-08-05T00:00:00.000Z,TNS,0.21,0.28,33.33,EST,0,EQUITY,2008-08-05
37,TG,Tredegar Corporation,2008-05-05T00:00:00.000Z,TNS,0.25,0.17,-32.0,EST,0,EQUITY,2008-05-05
38,TG,Tredegar Corporation,2008-02-15T00:00:00.000Z,TNS,0.18,0.17,-5.56,EST,0,EQUITY,2008-02-15
39,TG,Tredegar Corporation,2007-11-05T00:00:00.000Z,TNS,0.24,0.24,0.0,EST,0,EQUITY,2007-11-05
40,TG,Tredegar Corporation,2007-08-07T00:00:00.000Z,TNS,0.32,0.3,-6.25,EST,0,EQUITY,2007-08-07
41,TG,Tredegar Corporation,2007-05-03T00:00:00.000Z,TNS,0.25,0.28,12.0,EST,0,EQUITY,2007-05-03
42,TG,Tredegar Corporation,2007-02-15T00:00:00.000Z,TNS,0.26,0.27,3.85,EST,0,EQUITY,2007-02-15
43,TG,Tredegar Corporation,2006-11-07T00:00:00.000Z,TNS,0.22,0.26,18.18,EST,0,EQUITY,2006-11-07
44,TG,Tredegar Corporation,2006-08-02T00:00:00.000Z,TNS,0.22,0.23,4.55,EST,0,EQUITY,2006-08-02
45,TG,Tredegar Corporation,2005-11-02T00:00:00.000Z,TNS,0.21,0.23,9.52,EST,0,EQUITY,2005-11-02
46,TG,Tredegar Corporation,2005-08-03T00:00:00.000Z,TNS,0.26,0.25,-3.85,EST,0,EQUITY,2005-08-03
47,TG,Tredegar Corporation,2005-04-20T00:00:00.000Z,TNS,0.19,0.17,-10.53,EST,0,EQUITY,2005-04-20
48,TG,Tredegar Corporation,2005-01-26T00:00:00.000Z,TNS,0.21,0.13,-38.1,EST,0,EQUITY,2005-01-26
49,TG,Tredegar Corporation,2004-10-20T00:00:00.000Z,TNS,0.27,0.26,-3.7,EST,0,EQUITY,2004-10-20
50,TG,Tredegar Corporation,2004-07-21T00:00:00.000Z,TNS,0.17,0.23,35.29,EST,0,EQUITY,2004-07-21
51,TG,Tredegar Corporation,2004-04-21T00:00:00.000Z,TNS,0.14,0.14,0.0,EST,0,EQUITY,2004-04-21
52,TG,Tredegar Corporation,2004-01-21T00:00:00.000Z,TNS,0.15,0.16,6.67,EST,0,EQUITY,2004-01-21
53,TG,Tredegar Corporation,2003-10-21T00:00:00.000Z,TNS,0.21,0.2,-4.76,EST,0,EQUITY,2003-10-21
54,TG,Tredegar Corporation,2003-07-21T00:00:00.000Z,TNS,0.13,0.14,7.69,EST,0,EQUITY,2003-07-21
55,TG,Tredegar Corporation,2003-04-21T00:00:00.000Z,TNS,0.16,0.14,-9.68,EST,0,EQUITY,2003-04-21
56,TG,Tredegar Corporation,2003-01-21T00:00:00.000Z,TNS,0.27,0.31,14.81,EST,0,EQUITY,2003-01-21
57,TG,Tredegar Corporation,2002-10-15T00:00:00.000Z,TNS,0.34,0.37,8.82,EST,0,EQUITY,2002-10-15
58,TG,Tredegar Corporation,2002-07-22T00:00:00.000Z,TNS,0.41,0.42,2.44,EST,0,EQUITY,2002-07-22
59,TG,Tredegar Corporation,2002-04-16T00:00:00.000Z,TNS,0.2,0.02,-90.0,EST,0,EQUITY,2002-04-16
60,TG,Tredegar Corporation,2002-01-17T00:00:00.000Z,TNS,0.22,0.2,-9.09,EST,0,EQUITY,2002-01-17
61,TG,Tredegar Corporation,2001-10-15T00:00:00.000Z,TNS,0.26,0.23,-11.54,EST,0,EQUITY,2001-10-15
62,TG,Tredegar Corporation,2001-07-13T00:00:00.000Z,TNS,0.19,0.26,40.54,EST,0,EQUITY,2001-07-13
63,TG,Tredegar Corporation,2001-04-18T00:00:00.000Z,TNS,0.16,0.23,43.75,EST,0,EQUITY,2001-04-18
64,TG,Tredegar Corporation,2001-01-18T00:00:00.000Z,TNS,0.31,0.24,-22.58,EST,0,EQUITY,2001-01-18
65,TG,Tredegar Corporation,2000-10-23T00:00:00.000Z,TNS,0.31,0.26,-16.13,EST,0,EQUITY,2000-10-23
66,TG,Tredegar Corporation,2000-07-19T00:00:00.000Z,TNS,0.38,0.67,78.67,EST,0,EQUITY,2000-07-19
67,TG,Tredegar Corporation,2000-04-19T00:00:00.000Z,TNS,0.38,0.38,1.33,EST,0,EQUITY,2000-04-19
68,TG,Tredegar Corporation,2000-01-20T00:00:00.000Z,TNS,0.36,0.38,6.54,EST,0,EQUITY,2000-01-20
69,TG,Tredegar Corporation,1999-10-15T00:00:00.000Z,TNS,0.41,0.31,-23.46,EST,0,EQUITY,1999-10-15
70,TG,Tredegar Corporation,1999-07-14T00:00:00.000Z,TNS,0.39,0.34,-11.69,EST,0,EQUITY,1999-07-14
71,TG,Tredegar Corporation,1999-01-12T00:00:00.000Z,TNS,0.37,0.43,16.22,EST,0,EQUITY,1999-01-12
72,TG,Tredegar Corporation,1998-10-12T00:00:00.000Z,TNS,0.4,0.42,5.88,EST,0,EQUITY,1998-10-12
73,TG,Tredegar Corporation,1998-07-13T00:00:00.000Z,TNS,0.35,0.37,6.73,EST,0,EQUITY,1998-07-13
74,TG,Tredegar Corporation,1998-04-13T00:00:00.000Z,TNS,0.32,0.36,13.68,EST,0,EQUITY,1998-04-13
75,TG,Tredegar Corporation,1998-01-14T00:00:00.000Z,TNS,0.29,0.27,-6.98,EST,0,EQUITY,1998-01-14
76,TG,Tredegar Corporation,1997-10-13T00:00:00.000Z,TNS,0.28,0.35,23.98,EST,0,EQUITY,1997-10-13
77,TG,Tredegar Corporation,1997-07-14T00:00:00.000Z,TNS,0.24,0.31,27.78,EST,0,EQUITY,1997-07-14
78,TG,Tredegar Corporation,1997-04-11T00:00:00.000Z,TNS,0.23,0.25,5.72,EST,0,EQUITY,1997-04-11
79,TG,Tredegar Corporation,1997-01-13T00:00:00.000Z,TNS,0.19,0.23,23.89,EST,0,EQUITY,1997-01-13
80,TG,Tredegar Corporation,1996-01-17T00:00:00.000Z,TNS,0.12,0.12,0.0,EST,0,EQUITY,1996-01-17
81,TG,Tredegar Corporation,1995-10-11T00:00:00.000Z,TNS,0.13,0.16,17.65,EST,0,EQUITY,1995-10-11
82,TG,Tredegar Corporation,1995-07-11T00:00:00.000Z,TNS,0.11,0.15,36.0,EST,0,EQUITY,1995-07-11
83,TG,Tredegar Corporation,1995-04-11T00:00:00.000Z,TNS,0.08,0.12,50.0,EST,0,EQUITY,1995-04-11
84,TG,Tredegar Corporation,1995-01-16T00:00:00.000Z,TNS,0.06,0.09,53.84,EST,0,EQUITY,1995-01-16
85,TG,Tredegar Corporation,1994-10-17T00:00:00.000Z,TNS,0.07,0.09,21.88,EST,0,EQUITY,1994-10-17
86,TG,Tredegar Corporation,1994-07-13T00:00:00.000Z,TNS,0.06,0.06,7.4,EST,0,EQUITY,1994-07-13
87,TG,Tredegar Corporation,1994-04-15T00:00:00.000Z,TNS,0.06,0.08,38.46,EST,0,EQUITY,1994-04-15
88,TG,Tredegar Corporation,1994-01-17T00:00:00.000Z,TNS,0.05,0.07,39.13,EST,0,EQUITY,1994-01-17
89,TG,Tredegar Corporation,1993-10-15T00:00:00.000Z,TNS,0.05,0.06,8.34,EST,0,EQUITY,1993-10-15
90,TG,Tredegar Corporation,1993-05-04T00:00:00.000Z,TNS,0.07,0.05,-21.32,EST,0,EQUITY,1993-05-04
91,TG,Tredegar Corporation,1993-01-18T00:00:00.000Z,TNS,0.07,0.08,21.97,EST,0,EQUITY,1993-01-18
