,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,THO,Thor Industries Inc,2021-12-08T06:30:03.000Z,TAS,3.24,4.34,33.95,EST,-18000000,EQUITY,2021-12-08
4,THO,Thor Industries Inc,2021-09-28T06:30:04.000Z,TAS,2.92,4.12,41.1,EST,-18000000,EQUITY,2021-09-28
6,THO,"Thor Industries, Inc.",2021-06-08T00:00:00.000Z,TNS,2.34,3.29,40.66,EST,0,EQUITY,2021-06-08
7,THO,"Thor Industries, Inc.",2021-03-09T00:00:00.000Z,TNS,1.55,2.38,53.15,EST,0,EQUITY,2021-03-09
8,THO,"Thor Industries, Inc.",2020-12-08T00:00:00.000Z,TNS,1.56,2.05,31.33,EST,0,EQUITY,2020-12-08
9,THO,"Thor Industries, Inc.",2020-09-28T00:00:00.000Z,TNS,1.34,2.14,59.46,EST,0,EQUITY,2020-09-28
10,THO,"Thor Industries, Inc.",2020-06-08T00:00:00.000Z,TNS,-0.26,0.43,267.32,EST,0,EQUITY,2020-06-08
11,THO,"Thor Industries, Inc.",2020-03-09T00:00:00.000Z,TNS,0.7,0.66,-5.17,EST,0,EQUITY,2020-03-09
12,THO,"Thor Industries, Inc.",2019-12-09T00:00:00.000Z,TNS,1.23,0.92,-24.96,EST,0,EQUITY,2019-12-09
13,THO,"Thor Industries, Inc.",2019-09-30T00:00:00.000Z,TNS,1.43,1.7,19.21,EST,0,EQUITY,2019-09-30
14,THO,"Thor Industries, Inc.",2019-06-10T00:00:00.000Z,TNS,1.64,1.65,0.67,EST,0,EQUITY,2019-06-10
15,THO,"Thor Industries, Inc.",2019-03-06T00:00:00.000Z,TNS,1.05,0.65,-37.86,EST,0,EQUITY,2019-03-06
16,THO,"Thor Industries, Inc.",2018-12-06T00:00:00.000Z,TNS,1.67,1.28,-23.12,EST,0,EQUITY,2018-12-06
17,THO,"Thor Industries, Inc.",2018-09-20T00:00:00.000Z,TNS,2.03,1.67,-17.77,EST,0,EQUITY,2018-09-20
18,THO,"Thor Industries, Inc.",2018-06-06T00:00:00.000Z,TNS,2.58,2.53,-1.98,EST,0,EQUITY,2018-06-06
19,THO,"Thor Industries, Inc.",2018-03-07T00:00:00.000Z,TNS,1.79,1.51,-15.5,EST,0,EQUITY,2018-03-07
20,THO,"Thor Industries, Inc.",2017-11-27T00:00:00.000Z,TNS,1.84,2.43,31.92,EST,0,EQUITY,2017-11-27
21,THO,"Thor Industries, Inc.",2017-09-27T00:00:00.000Z,TNS,1.95,2.26,15.66,EST,0,EQUITY,2017-09-27
22,THO,"Thor Industries, Inc.",2017-06-05T00:00:00.000Z,TNS,1.89,2.11,11.88,EST,0,EQUITY,2017-06-05
23,THO,"Thor Industries, Inc.",2017-03-06T00:00:00.000Z,TNS,1.22,1.23,1.15,EST,0,EQUITY,2017-03-06
24,THO,"Thor Industries, Inc.",2016-11-28T00:00:00.000Z,TNS,1.23,1.49,21.14,EST,0,EQUITY,2016-11-28
25,THO,"Thor Industries, Inc.",2016-09-26T00:00:00.000Z,TNS,1.33,1.57,18.22,EST,0,EQUITY,2016-09-26
26,THO,"Thor Industries, Inc.",2016-06-06T00:00:00.000Z,TNS,1.43,1.51,5.45,EST,0,EQUITY,2016-06-06
27,THO,"Thor Industries, Inc.",2016-03-07T00:00:00.000Z,TNS,0.62,0.86,38.49,EST,0,EQUITY,2016-03-07
28,THO,"Thor Industries, Inc.",2015-11-30T00:00:00.000Z,TNS,0.83,0.97,17.43,EST,0,EQUITY,2015-11-30
29,THO,"Thor Industries, Inc.",2015-09-21T00:00:00.000Z,TNS,1.3,1.14,-12.38,EST,0,EQUITY,2015-09-21
30,THO,"Thor Industries, Inc.",2015-06-04T00:00:00.000Z,TNS,1.21,1.19,-1.98,EST,0,EQUITY,2015-06-04
31,THO,"Thor Industries, Inc.",2015-03-05T00:00:00.000Z,TNS,0.42,0.57,34.43,EST,0,EQUITY,2015-03-05
32,THO,"Thor Industries, Inc.",2014-12-01T00:00:00.000Z,TNS,0.81,0.73,-10.32,EST,0,EQUITY,2014-12-01
33,THO,"Thor Industries, Inc.",2014-09-25T00:00:00.000Z,TNS,1.23,1.25,1.3,EST,0,EQUITY,2014-09-25
34,THO,"Thor Industries, Inc.",2014-06-05T00:00:00.000Z,TNS,1.07,1.03,-3.96,EST,0,EQUITY,2014-06-05
35,THO,"Thor Industries, Inc.",2014-03-06T00:00:00.000Z,TNS,0.36,0.32,-10.49,EST,0,EQUITY,2014-03-06
36,THO,"Thor Industries, Inc.",2013-12-02T00:00:00.000Z,TNS,0.7,0.68,-2.86,EST,0,EQUITY,2013-12-02
37,THO,"Thor Industries, Inc.",2013-09-26T00:00:00.000Z,TNS,0.95,1.07,12.43,EST,0,EQUITY,2013-09-26
38,THO,"Thor Industries, Inc.",2013-06-06T00:00:00.000Z,TNS,0.88,0.97,9.69,EST,0,EQUITY,2013-06-06
39,THO,"Thor Industries, Inc.",2013-03-07T00:00:00.000Z,TNS,0.38,0.37,-2.63,EST,0,EQUITY,2013-03-07
40,THO,"Thor Industries, Inc.",2012-11-26T00:00:00.000Z,TNS,0.62,0.6,-2.96,EST,0,EQUITY,2012-11-26
41,THO,"Thor Industries, Inc.",2012-09-26T00:00:00.000Z,TNS,0.77,0.84,9.09,EST,0,EQUITY,2012-09-26
42,THO,"Thor Industries, Inc.",2012-06-07T00:00:00.000Z,TNS,0.79,0.78,-1.27,EST,0,EQUITY,2012-06-07
43,THO,"Thor Industries, Inc.",2012-03-08T00:00:00.000Z,TNS,0.24,0.25,3.55,EST,0,EQUITY,2012-03-08
44,THO,"Thor Industries, Inc.",2011-11-28T00:00:00.000Z,TNS,0.42,0.41,-1.6,EST,0,EQUITY,2011-11-28
45,THO,"Thor Industries, Inc.",2011-09-28T00:00:00.000Z,TNS,0.61,0.66,7.61,EST,0,EQUITY,2011-09-28
46,THO,"Thor Industries, Inc.",2011-06-08T00:00:00.000Z,TNS,0.67,0.72,7.14,EST,0,EQUITY,2011-06-08
47,THO,"Thor Industries, Inc.",2011-03-10T00:00:00.000Z,TNS,0.21,0.1,-52.38,EST,0,EQUITY,2011-03-10
48,THO,"Thor Industries, Inc.",2010-11-29T00:00:00.000Z,TNS,0.54,0.44,-18.27,EST,0,EQUITY,2010-11-29
49,THO,"Thor Industries, Inc.",2010-09-28T00:00:00.000Z,TNS,0.63,0.78,24.8,EST,0,EQUITY,2010-09-28
50,THO,"Thor Industries, Inc.",2010-06-10T00:00:00.000Z,TNS,0.6,0.66,10.0,EST,0,EQUITY,2010-06-10
51,THO,"Thor Industries, Inc.",2010-03-08T00:00:00.000Z,TNS,0.28,0.22,-21.89,EST,0,EQUITY,2010-03-08
52,THO,"Thor Industries, Inc.",2009-11-30T00:00:00.000Z,TNS,0.35,0.42,18.87,EST,0,EQUITY,2009-11-30
53,THO,"Thor Industries, Inc.",2009-09-29T00:00:00.000Z,TNS,0.23,0.45,95.65,EST,0,EQUITY,2009-09-29
54,THO,"Thor Industries, Inc.",2009-06-10T00:00:00.000Z,TNS,0.1,0.04,-58.62,EST,0,EQUITY,2009-06-10
55,THO,"Thor Industries, Inc.",2009-03-09T00:00:00.000Z,TNS,-0.17,-0.27,-62.65,EST,0,EQUITY,2009-03-09
56,THO,"Thor Industries, Inc.",2008-12-01T00:00:00.000Z,TNS,0.14,0.09,-36.84,EST,0,EQUITY,2008-12-01
57,THO,"Thor Industries, Inc.",2008-09-29T00:00:00.000Z,TNS,0.3,0.09,-70.33,EST,0,EQUITY,2008-09-29
58,THO,"Thor Industries, Inc.",2008-06-03T00:00:00.000Z,TNS,0.5,0.5,0.87,EST,0,EQUITY,2008-06-03
59,THO,"Thor Industries, Inc.",2008-03-10T00:00:00.000Z,TNS,0.4,0.39,-3.53,EST,0,EQUITY,2008-03-10
60,THO,"Thor Industries, Inc.",2007-11-26T00:00:00.000Z,TNS,0.69,0.68,-1.65,EST,0,EQUITY,2007-11-26
61,THO,"Thor Industries, Inc.",2007-10-01T00:00:00.000Z,TNS,0.67,0.9,33.47,EST,0,EQUITY,2007-10-01
62,THO,"Thor Industries, Inc.",2007-07-03T00:00:00.000Z,TNS,0.64,0.64,0.67,EST,0,EQUITY,2007-07-03
63,THO,"Thor Industries, Inc.",2007-06-19T00:00:00.000Z,TNS,0.34,0.33,-2.53,EST,0,EQUITY,2007-06-19
64,THO,"Thor Industries, Inc.",2006-11-27T00:00:00.000Z,TNS,0.6,0.58,-4.02,EST,0,EQUITY,2006-11-27
65,THO,"Thor Industries, Inc.",2006-09-18T00:00:00.000Z,TNS,0.82,0.81,-0.7,EST,0,EQUITY,2006-09-18
66,THO,"Thor Industries, Inc.",2006-05-23T00:00:00.000Z,TNS,0.78,0.9,15.38,EST,0,EQUITY,2006-05-23
67,THO,"Thor Industries, Inc.",2006-02-28T00:00:00.000Z,TNS,0.47,0.56,18.52,EST,0,EQUITY,2006-02-28
68,THO,"Thor Industries, Inc.",2005-11-28T00:00:00.000Z,TNS,0.73,0.76,4.68,EST,0,EQUITY,2005-11-28
69,THO,"Thor Industries, Inc.",2005-10-12T00:00:00.000Z,TNS,0.59,0.58,-2.36,EST,0,EQUITY,2005-10-12
70,THO,"Thor Industries, Inc.",2005-06-02T00:00:00.000Z,TNS,0.62,0.58,-6.15,EST,0,EQUITY,2005-06-02
71,THO,"Thor Industries, Inc.",2005-03-01T00:00:00.000Z,TNS,0.41,0.36,-11.76,EST,0,EQUITY,2005-03-01
72,THO,"Thor Industries, Inc.",2004-11-29T00:00:00.000Z,TNS,0.57,0.61,7.02,EST,0,EQUITY,2004-11-29
73,THO,"Thor Industries, Inc.",2004-10-04T00:00:00.000Z,TNS,0.53,0.56,5.66,EST,0,EQUITY,2004-10-04
74,THO,"Thor Industries, Inc.",2004-05-24T00:00:00.000Z,TNS,0.49,0.57,15.38,EST,0,EQUITY,2004-05-24
75,THO,"Thor Industries, Inc.",2004-03-08T00:00:00.000Z,TNS,0.33,0.31,-7.19,EST,0,EQUITY,2004-03-08
76,THO,"Thor Industries, Inc.",2003-12-01T00:00:00.000Z,TNS,0.45,0.42,-8.54,EST,0,EQUITY,2003-12-01
77,THO,"Thor Industries, Inc.",2003-10-01T00:00:00.000Z,TNS,0.39,0.39,0.0,EST,0,EQUITY,2003-10-01
78,THO,"Thor Industries, Inc.",2003-06-02T00:00:00.000Z,TNS,0.33,0.36,7.58,EST,0,EQUITY,2003-06-02
79,THO,"Thor Industries, Inc.",2003-02-27T00:00:00.000Z,TNS,0.21,0.27,27.06,EST,0,EQUITY,2003-02-27
80,THO,"Thor Industries, Inc.",2002-11-25T00:00:00.000Z,TNS,0.3,0.37,21.67,EST,0,EQUITY,2002-11-25
81,THO,"Thor Industries, Inc.",2002-09-30T00:00:00.000Z,TNS,0.27,0.36,31.48,EST,0,EQUITY,2002-09-30
82,THO,"Thor Industries, Inc.",2002-05-22T00:00:00.000Z,TNS,0.21,0.29,40.12,EST,0,EQUITY,2002-05-22
83,THO,"Thor Industries, Inc.",2002-02-25T00:00:00.000Z,TNS,0.13,0.14,5.77,EST,0,EQUITY,2002-02-25
84,THO,"Thor Industries, Inc.",2001-12-03T00:00:00.000Z,TNS,0.15,0.14,-6.67,EST,0,EQUITY,2001-12-03
85,THO,"Thor Industries, Inc.",2000-09-26T00:00:00.000Z,TNS,0.19,0.2,5.26,EST,0,EQUITY,2000-09-26
86,THO,"Thor Industries, Inc.",2000-05-22T00:00:00.000Z,TNS,0.21,0.21,-2.35,EST,0,EQUITY,2000-05-22
87,THO,"Thor Industries, Inc.",2000-02-22T00:00:00.000Z,TNS,0.16,0.14,-14.06,EST,0,EQUITY,2000-02-22
88,THO,"Thor Industries, Inc.",1999-09-16T00:00:00.000Z,TNS,0.19,0.19,2.67,EST,0,EQUITY,1999-09-16
89,THO,"Thor Industries, Inc.",1998-10-26T00:00:00.000Z,TNS,0.16,0.14,-10.0,EST,0,EQUITY,1998-10-26
90,THO,"Thor Industries, Inc.",1998-05-26T00:00:00.000Z,TNS,0.13,0.13,0.0,EST,0,EQUITY,1998-05-26
91,THO,"Thor Industries, Inc.",1998-02-10T00:00:00.000Z,TNS,0.05,0.06,16.12,EST,0,EQUITY,1998-02-10
92,THO,"Thor Industries, Inc.",1997-11-17T00:00:00.000Z,TNS,0.12,0.12,7.24,EST,0,EQUITY,1997-11-17
93,THO,"Thor Industries, Inc.",1997-09-25T00:00:00.000Z,TNS,0.14,0.13,-8.54,EST,0,EQUITY,1997-09-25
94,THO,"Thor Industries, Inc.",1997-05-19T00:00:00.000Z,TNS,0.1,0.1,-6.56,EST,0,EQUITY,1997-05-19
95,THO,"Thor Industries, Inc.",1997-03-05T00:00:00.000Z,TNS,0.05,0.04,-14.29,EST,0,EQUITY,1997-03-05
96,THO,"Thor Industries, Inc.",1996-12-02T00:00:00.000Z,TNS,0.1,0.1,-4.84,EST,0,EQUITY,1996-12-02
97,THO,"Thor Industries, Inc.",1996-09-11T00:00:00.000Z,TNS,0.09,0.11,20.37,EST,0,EQUITY,1996-09-11
