,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,TWI,"Titan International, Inc.",2021-11-03T00:00:00.000Z,TNS,0.17,0.17,0.0,EST,0,EQUITY,2021-11-03
1,TWI,"Titan International, Inc.",2021-07-29T00:00:00.000Z,TNS,0.15,0.22,46.67,EST,0,EQUITY,2021-07-29
2,TWI,"Titan International, Inc.",2021-05-06T00:00:00.000Z,TNS,0.06,0.07,16.67,EST,0,EQUITY,2021-05-06
3,TWI,"Titan International, Inc.",2021-03-04T00:00:00.000Z,TNS,-0.22,-0.36,-61.43,EST,0,EQUITY,2021-03-04
4,TWI,"Titan International, Inc.",2020-11-05T00:00:00.000Z,TNS,-0.13,-0.21,-60.31,EST,0,EQUITY,2020-11-05
5,TWI,"Titan International, Inc.",2020-08-06T00:00:00.000Z,TNS,-0.36,-0.08,77.96,EST,0,EQUITY,2020-08-06
6,TWI,"Titan International, Inc.",2020-05-07T00:00:00.000Z,TNS,-0.18,-0.42,-127.03,EST,0,EQUITY,2020-05-07
7,TWI,"Titan International, Inc.",2020-03-04T00:00:00.000Z,TNS,-0.1,-0.41,-310.0,EST,0,EQUITY,2020-03-04
8,TWI,"Titan International, Inc.",2019-11-07T00:00:00.000Z,TNS,-0.06,-0.33,-423.81,EST,0,EQUITY,2019-11-07
9,TWI,"Titan International, Inc.",2019-08-01T00:00:00.000Z,TNS,0.13,-0.12,-192.31,EST,0,EQUITY,2019-08-01
10,TWI,"Titan International, Inc.",2019-05-03T00:00:00.000Z,TNS,0.13,0.02,-85.07,EST,0,EQUITY,2019-05-03
11,TWI,"Titan International, Inc.",2019-03-07T00:00:00.000Z,TNS,-0.05,-0.21,-296.23,EST,0,EQUITY,2019-03-07
12,TWI,"Titan International, Inc.",2018-11-02T00:00:00.000Z,TNS,0.01,0.04,300.0,EST,0,EQUITY,2018-11-02
13,TWI,"Titan International, Inc.",2018-08-03T00:00:00.000Z,TNS,0.18,0.02,-89.07,EST,0,EQUITY,2018-08-03
14,TWI,"Titan International, Inc.",2018-05-03T00:00:00.000Z,TNS,0.04,0.23,434.88,EST,0,EQUITY,2018-05-03
15,TWI,"Titan International, Inc.",2018-02-23T00:00:00.000Z,TNS,-0.15,-0.1,34.21,EST,0,EQUITY,2018-02-23
16,TWI,"Titan International, Inc.",2017-11-02T00:00:00.000Z,TNS,-0.12,-0.22,-88.03,EST,0,EQUITY,2017-11-02
