,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,UFCS,"United Fire Group, Inc.",2021-11-04T00:00:00.000Z,TNS,-0.04,-0.31,-737.84,EST,0,EQUITY,2021-11-04
1,UFCS,"United Fire Group, Inc.",2021-08-04T00:00:00.000Z,TNS,-0.02,0.35,1850.0,EST,0,EQUITY,2021-08-04
2,UFCS,"United Fire Group, Inc.",2021-05-05T00:00:00.000Z,TNS,-0.06,-0.03,47.37,EST,0,EQUITY,2021-05-05
3,UFCS,"United Fire Group, Inc.",2021-02-17T00:00:00.000Z,TNS,-1.31,-1.3,0.54,EST,0,EQUITY,2021-02-17
4,UFCS,"United Fire Group, Inc.",2020-11-04T00:00:00.000Z,TNS,-1.33,-1.37,-2.78,EST,0,EQUITY,2020-11-04
5,UFCS,"United Fire Group, Inc.",2020-08-05T00:00:00.000Z,TNS,-0.26,-0.26,0.0,EST,0,EQUITY,2020-08-05
6,UFCS,"United Fire Group, Inc.",2020-05-06T00:00:00.000Z,TNS,0.16,0.05,-68.75,EST,0,EQUITY,2020-05-06
7,UFCS,"United Fire Group, Inc.",2020-02-18T00:00:00.000Z,TNS,-0.64,-1.04,-61.24,EST,0,EQUITY,2020-02-18
8,UFCS,"United Fire Group, Inc.",2019-11-06T00:00:00.000Z,TNS,-0.28,-0.4,-45.45,EST,0,EQUITY,2019-11-06
9,UFCS,"United Fire Group, Inc.",2019-08-07T00:00:00.000Z,TNS,0.06,-0.59,-1153.57,EST,0,EQUITY,2019-08-07
10,UFCS,"United Fire Group, Inc.",2019-05-08T00:00:00.000Z,TNS,0.53,0.91,72.68,EST,0,EQUITY,2019-05-08
11,UFCS,"United Fire Group, Inc.",2019-02-20T00:00:00.000Z,TNS,0.23,-0.3,-233.33,EST,0,EQUITY,2019-02-20
12,UFCS,"United Fire Group, Inc.",2018-11-07T00:00:00.000Z,TNS,0.31,0.0,-100.0,EST,0,EQUITY,2018-11-07
13,UFCS,"United Fire Group, Inc.",2018-08-08T00:00:00.000Z,TNS,0.22,-0.03,-113.95,EST,0,EQUITY,2018-08-08
14,UFCS,"United Fire Group, Inc.",2018-05-09T00:00:00.000Z,TNS,0.83,1.0,20.92,EST,0,EQUITY,2018-05-09
