,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,UGI,UGI Corporation,2021-11-18T00:00:00.000Z,TNS,-0.26,-0.33,-28.4,EST,0,EQUITY,2021-11-18
1,UGI,UGI Corporation,2021-08-04T00:00:00.000Z,TNS,0.07,0.13,78.08,EST,0,EQUITY,2021-08-04
2,UGI,UGI Corporation,2021-05-05T00:00:00.000Z,TNS,1.73,1.99,15.16,EST,0,EQUITY,2021-05-05
3,UGI,UGI Corporation,2021-02-03T00:00:00.000Z,TNS,1.1,1.18,7.27,EST,0,EQUITY,2021-02-03
4,UGI,UGI Corporation,2020-11-18T00:00:00.000Z,TNS,-0.3,-0.14,54.1,EST,0,EQUITY,2020-11-18
5,UGI,UGI Corporation,2020-08-03T00:00:00.000Z,TNS,-0.16,0.08,149.08,EST,0,EQUITY,2020-08-03
6,UGI,UGI Corporation,2020-05-06T00:00:00.000Z,TNS,1.52,1.56,2.56,EST,0,EQUITY,2020-05-06
7,UGI,UGI Corporation,2020-02-05T00:00:00.000Z,TNS,1.04,1.17,12.93,EST,0,EQUITY,2020-02-05
8,UGI,UGI Corporation,2019-11-11T00:00:00.000Z,TNS,-0.04,-0.05,-35.14,EST,0,EQUITY,2019-11-11
9,UGI,UGI Corporation,2019-08-05T00:00:00.000Z,TNS,0.19,0.13,-31.94,EST,0,EQUITY,2019-08-05
10,UGI,UGI Corporation,2019-05-06T00:00:00.000Z,TNS,1.56,1.43,-8.57,EST,0,EQUITY,2019-05-06
11,UGI,UGI Corporation,2019-02-05T00:00:00.000Z,TNS,1.1,0.81,-26.63,EST,0,EQUITY,2019-02-05
12,UGI,UGI Corporation,2018-11-12T00:00:00.000Z,TNS,-0.04,-0.05,-38.89,EST,0,EQUITY,2018-11-12
13,UGI,UGI Corporation,2018-08-01T00:00:00.000Z,TNS,0.14,0.09,-34.31,EST,0,EQUITY,2018-08-01
14,UGI,UGI Corporation,2018-05-02T00:00:00.000Z,TNS,1.55,1.69,8.75,EST,0,EQUITY,2018-05-02
15,UGI,UGI Corporation,2018-01-31T00:00:00.000Z,TNS,0.93,1.01,9.07,EST,0,EQUITY,2018-01-31
16,UGI,UGI Corporation,2017-11-08T00:00:00.000Z,TNS,-0.05,-0.02,58.33,EST,0,EQUITY,2017-11-08
17,UGI,UGI Corporation,2017-08-02T00:00:00.000Z,TNS,0.16,0.09,-42.68,EST,0,EQUITY,2017-08-02
18,UGI,UGI Corporation,2017-05-01T00:00:00.000Z,TNS,1.32,1.31,-0.91,EST,0,EQUITY,2017-05-01
19,UGI,UGI Corporation,2017-02-01T00:00:00.000Z,TNS,0.76,0.91,20.37,EST,0,EQUITY,2017-02-01
20,UGI,UGI Corporation,2016-11-09T00:00:00.000Z,TNS,-0.06,-0.05,10.71,EST,0,EQUITY,2016-11-09
21,UGI,UGI Corporation,2016-08-01T00:00:00.000Z,TNS,0.07,0.23,219.44,EST,0,EQUITY,2016-08-01
22,UGI,UGI Corporation,2016-05-02T00:00:00.000Z,TNS,1.25,1.24,-0.8,EST,0,EQUITY,2016-05-02
23,UGI,UGI Corporation,2016-02-01T00:00:00.000Z,TNS,0.7,0.64,-8.31,EST,0,EQUITY,2016-02-01
24,UGI,UGI Corporation,2015-11-09T00:00:00.000Z,TNS,-0.03,0.01,135.71,EST,0,EQUITY,2015-11-09
25,UGI,UGI Corporation,2015-08-03T00:00:00.000Z,TNS,0.15,0.03,-80.26,EST,0,EQUITY,2015-08-03
26,UGI,UGI Corporation,2015-05-04T00:00:00.000Z,TNS,1.2,1.23,2.93,EST,0,EQUITY,2015-05-04
27,UGI,UGI Corporation,2015-02-04T00:00:00.000Z,TNS,0.75,0.66,-12.35,EST,0,EQUITY,2015-02-04
28,UGI,UGI Corporation,2014-11-12T00:00:00.000Z,TNS,-0.05,-0.08,-70.21,EST,0,EQUITY,2014-11-12
29,UGI,UGI Corporation,2014-07-29T00:00:00.000Z,TNS,0.11,0.1,-11.76,EST,0,EQUITY,2014-07-29
30,UGI,UGI Corporation,2014-05-07T00:00:00.000Z,TNS,1.05,1.27,20.41,EST,0,EQUITY,2014-05-07
31,UGI,UGI Corporation,2014-02-03T00:00:00.000Z,TNS,0.69,0.71,3.16,EST,0,EQUITY,2014-02-03
32,UGI,UGI Corporation,2013-11-18T00:00:00.000Z,TNS,-0.04,-0.04,6.26,EST,0,EQUITY,2013-11-18
33,UGI,UGI Corporation,2013-07-30T00:00:00.000Z,TNS,0.05,0.09,73.34,EST,0,EQUITY,2013-07-30
34,UGI,UGI Corporation,2013-04-30T00:00:00.000Z,TNS,0.96,1.01,5.1,EST,0,EQUITY,2013-04-30
35,UGI,UGI Corporation,2013-01-31T00:00:00.000Z,TNS,0.69,0.6,-13.25,EST,0,EQUITY,2013-01-31
36,UGI,UGI Corporation,2012-11-08T00:00:00.000Z,TNS,-0.08,-0.06,27.03,EST,0,EQUITY,2012-11-08
37,UGI,UGI Corporation,2012-08-07T00:00:00.000Z,TNS,-0.01,-0.02,-199.85,EST,0,EQUITY,2012-08-07
38,UGI,UGI Corporation,2012-04-26T00:00:00.000Z,TNS,0.81,0.79,-3.01,EST,0,EQUITY,2012-04-26
39,UGI,UGI Corporation,2012-01-25T00:00:00.000Z,TNS,0.67,0.51,-23.0,EST,0,EQUITY,2012-01-25
40,UGI,UGI Corporation,2011-11-08T00:00:00.000Z,TNS,-0.04,-0.08,-89.48,EST,0,EQUITY,2011-11-08
41,UGI,UGI Corporation,2011-07-27T00:00:00.000Z,TNS,0.02,-0.04,-263.67,EST,0,EQUITY,2011-07-27
42,UGI,UGI Corporation,2011-05-02T00:00:00.000Z,TNS,0.98,0.91,-7.22,EST,0,EQUITY,2011-05-02
43,UGI,UGI Corporation,2011-01-26T00:00:00.000Z,TNS,0.63,0.62,-1.41,EST,0,EQUITY,2011-01-26
44,UGI,UGI Corporation,2010-11-10T00:00:00.000Z,TNS,-0.08,0.01,116.21,EST,0,EQUITY,2010-11-10
45,UGI,UGI Corporation,2010-07-27T00:00:00.000Z,TNS,0.05,0.02,-58.62,EST,0,EQUITY,2010-07-27
46,UGI,UGI Corporation,2010-04-27T00:00:00.000Z,TNS,0.96,0.97,1.39,EST,0,EQUITY,2010-04-27
47,UGI,UGI Corporation,2010-01-27T00:00:00.000Z,TNS,0.61,0.6,-1.1,EST,0,EQUITY,2010-01-27
48,UGI,UGI Corporation,2009-11-11T00:00:00.000Z,TNS,-0.08,-0.07,14.89,EST,0,EQUITY,2009-11-11
49,UGI,UGI Corporation,2009-07-29T00:00:00.000Z,TNS,0.05,0.04,-18.18,EST,0,EQUITY,2009-07-29
50,UGI,UGI Corporation,2009-04-30T00:00:00.000Z,TNS,0.82,0.97,18.37,EST,0,EQUITY,2009-04-30
51,UGI,UGI Corporation,2009-01-28T00:00:00.000Z,TNS,0.51,0.63,25.0,EST,0,EQUITY,2009-01-28
52,UGI,UGI Corporation,2008-11-11T00:00:00.000Z,TNS,-0.02,-0.04,-63.67,EST,0,EQUITY,2008-11-11
53,UGI,UGI Corporation,2008-07-29T00:00:00.000Z,TNS,0.08,0.09,19.99,EST,0,EQUITY,2008-07-29
54,UGI,UGI Corporation,2008-04-30T00:00:00.000Z,TNS,0.78,0.78,-0.43,EST,0,EQUITY,2008-04-30
55,UGI,UGI Corporation,2008-01-30T00:00:00.000Z,TNS,0.44,0.49,11.28,EST,0,EQUITY,2008-01-30
56,UGI,UGI Corporation,2007-11-14T00:00:00.000Z,TNS,-0.02,-0.01,40.01,EST,0,EQUITY,2007-11-14
57,UGI,UGI Corporation,2007-08-01T00:00:00.000Z,TNS,0.08,0.07,-2.23,EST,0,EQUITY,2007-08-01
58,UGI,UGI Corporation,2007-04-25T00:00:00.000Z,TNS,0.76,0.75,-1.58,EST,0,EQUITY,2007-04-25
59,UGI,UGI Corporation,2007-01-31T00:00:00.000Z,TNS,0.4,0.39,-4.39,EST,0,EQUITY,2007-01-31
60,UGI,UGI Corporation,2006-11-15T00:00:00.000Z,TNS,-0.04,-0.03,36.0,EST,0,EQUITY,2006-11-15
61,UGI,UGI Corporation,2006-07-26T00:00:00.000Z,TNS,0.06,0.09,52.94,EST,0,EQUITY,2006-07-26
62,UGI,UGI Corporation,2006-04-26T00:00:00.000Z,TNS,0.71,0.65,-7.55,EST,0,EQUITY,2006-04-26
63,UGI,UGI Corporation,2006-02-01T00:00:00.000Z,TNS,0.38,0.36,-6.36,EST,0,EQUITY,2006-02-01
64,UGI,UGI Corporation,2005-11-16T00:00:00.000Z,TNS,-0.03,-0.05,-65.52,EST,0,EQUITY,2005-11-16
65,UGI,UGI Corporation,2005-07-27T00:00:00.000Z,TNS,0.02,0.07,233.35,EST,0,EQUITY,2005-07-27
66,UGI,UGI Corporation,2005-04-26T00:00:00.000Z,TNS,0.62,0.74,19.57,EST,0,EQUITY,2005-04-26
67,UGI,UGI Corporation,2005-02-01T00:00:00.000Z,TNS,0.34,0.4,19.21,EST,0,EQUITY,2005-02-01
68,UGI,UGI Corporation,2004-11-17T00:00:00.000Z,TNS,-0.06,-0.02,71.01,EST,0,EQUITY,2004-11-17
69,UGI,UGI Corporation,2004-07-28T00:00:00.000Z,TNS,-0.01,0.05,899.55,EST,0,EQUITY,2004-07-28
70,UGI,UGI Corporation,2004-04-28T00:00:00.000Z,TNS,0.5,0.54,6.98,EST,0,EQUITY,2004-04-28
71,UGI,UGI Corporation,2004-01-28T00:00:00.000Z,TNS,0.28,0.29,4.35,EST,0,EQUITY,2004-01-28
72,UGI,UGI Corporation,2003-11-19T00:00:00.000Z,TNS,-0.06,-0.04,27.78,EST,0,EQUITY,2003-11-19
73,UGI,UGI Corporation,2003-07-30T00:00:00.000Z,TNS,0.02,-0.02,-201.71,EST,0,EQUITY,2003-07-30
74,UGI,UGI Corporation,2003-04-30T00:00:00.000Z,TNS,0.46,0.54,17.46,EST,0,EQUITY,2003-04-30
75,UGI,UGI Corporation,2003-01-29T00:00:00.000Z,TNS,0.24,0.29,21.41,EST,0,EQUITY,2003-01-29
76,UGI,UGI Corporation,2002-11-20T00:00:00.000Z,TNS,-0.06,-0.05,15.05,EST,0,EQUITY,2002-11-20
77,UGI,UGI Corporation,2002-07-31T00:00:00.000Z,TNS,-0.02,0.03,299.94,EST,0,EQUITY,2002-07-31
78,UGI,UGI Corporation,2002-05-01T00:00:00.000Z,TNS,0.4,0.43,7.56,EST,0,EQUITY,2002-05-01
79,UGI,UGI Corporation,2002-01-30T00:00:00.000Z,TNS,0.18,0.19,8.75,EST,0,EQUITY,2002-01-30
80,UGI,UGI Corporation,2001-11-20T00:00:00.000Z,TNS,-0.1,-0.09,12.28,EST,0,EQUITY,2001-11-20
81,UGI,UGI Corporation,2001-07-31T00:00:00.000Z,TNS,-0.03,-0.04,-6.69,EST,0,EQUITY,2001-07-31
82,UGI,UGI Corporation,2001-04-25T00:00:00.000Z,TNS,0.35,0.37,7.05,EST,0,EQUITY,2001-04-25
83,UGI,UGI Corporation,2001-01-31T00:00:00.000Z,TNS,0.17,0.22,27.39,EST,0,EQUITY,2001-01-31
84,UGI,UGI Corporation,2000-11-15T00:00:00.000Z,TNS,-0.07,-0.09,-32.2,EST,0,EQUITY,2000-11-15
85,UGI,UGI Corporation,2000-07-26T00:00:00.000Z,TNS,-0.02,-0.04,-70.03,EST,0,EQUITY,2000-07-26
86,UGI,UGI Corporation,2000-04-26T00:00:00.000Z,TNS,0.31,0.32,1.43,EST,0,EQUITY,2000-04-26
87,UGI,UGI Corporation,2000-01-26T00:00:00.000Z,TNS,0.17,0.16,-2.67,EST,0,EQUITY,2000-01-26
88,UGI,UGI Corporation,1999-11-17T00:00:00.000Z,TNS,-0.07,-0.08,-21.3,EST,0,EQUITY,1999-11-17
89,UGI,UGI Corporation,1999-07-28T00:00:00.000Z,TNS,-0.03,-0.02,33.33,EST,0,EQUITY,1999-07-28
90,UGI,UGI Corporation,1999-04-28T00:00:00.000Z,TNS,0.25,0.25,1.33,EST,0,EQUITY,1999-04-28
91,UGI,UGI Corporation,1999-01-27T00:00:00.000Z,TNS,0.14,0.12,-15.38,EST,0,EQUITY,1999-01-27
92,UGI,UGI Corporation,1998-11-18T00:00:00.000Z,TNS,-0.07,-0.07,-4.91,EST,0,EQUITY,1998-11-18
93,UGI,UGI Corporation,1998-07-29T00:00:00.000Z,TNS,-0.01,-0.04,-220.07,EST,0,EQUITY,1998-07-29
94,UGI,UGI Corporation,1998-01-28T00:00:00.000Z,TNS,0.19,0.17,-12.79,EST,0,EQUITY,1998-01-28
95,UGI,UGI Corporation,1997-11-20T00:00:00.000Z,TNS,-0.08,-0.07,8.58,EST,0,EQUITY,1997-11-20
96,UGI,UGI Corporation,1997-07-30T00:00:00.000Z,TNS,-0.02,-0.01,61.89,EST,0,EQUITY,1997-07-30
97,UGI,UGI Corporation,1997-04-30T00:00:00.000Z,TNS,0.25,0.24,-5.26,EST,0,EQUITY,1997-04-30
98,UGI,UGI Corporation,1997-01-23T00:00:00.000Z,TNS,0.14,0.19,29.24,EST,0,EQUITY,1997-01-23
99,UGI,UGI Corporation,1996-11-21T00:00:00.000Z,TNS,-0.06,-0.08,-31.04,EST,0,EQUITY,1996-11-21
