,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
9,UVV,Universal Corporation,2020-05-27T00:00:00.000Z,TNS,,1.08,,EST,0,EQUITY,2020-05-27
23,UVV,Universal Corporation,2006-06-06T00:00:00.000Z,TNS,0.83,0.23,-72.29,EST,0,EQUITY,2006-06-06
24,UVV,Universal Corporation,2003-05-06T00:00:00.000Z,TNS,1.21,0.94,-22.31,EST,0,EQUITY,2003-05-06
25,UVV,Universal Corporation,2003-02-06T00:00:00.000Z,TNS,0.9,1.04,15.56,EST,0,EQUITY,2003-02-06
26,UVV,Universal Corporation,2002-10-22T00:00:00.000Z,TNS,0.95,1.09,14.74,EST,0,EQUITY,2002-10-22
27,UVV,Universal Corporation,2002-08-01T00:00:00.000Z,TNS,0.54,0.61,12.96,EST,0,EQUITY,2002-08-01
28,UVV,Universal Corporation,2002-05-02T00:00:00.000Z,TNS,1.03,1.26,22.33,EST,0,EQUITY,2002-05-02
29,UVV,Universal Corporation,2002-02-07T00:00:00.000Z,TNS,0.9,1.09,21.11,EST,0,EQUITY,2002-02-07
30,UVV,Universal Corporation,2001-10-23T00:00:00.000Z,TNS,0.98,1.04,6.12,EST,0,EQUITY,2001-10-23
31,UVV,Universal Corporation,2001-08-02T00:00:00.000Z,TNS,0.91,1.08,18.25,EST,0,EQUITY,2001-08-02
32,UVV,Universal Corporation,2001-05-04T00:00:00.000Z,TNS,1.05,1.31,24.76,EST,0,EQUITY,2001-05-04
33,UVV,Universal Corporation,2001-02-01T00:00:00.000Z,TNS,0.96,1.01,5.76,EST,0,EQUITY,2001-02-01
34,UVV,Universal Corporation,2000-10-24T00:00:00.000Z,TNS,0.95,0.89,-5.99,EST,0,EQUITY,2000-10-24
35,UVV,Universal Corporation,2000-08-10T00:00:00.000Z,TNS,0.85,0.69,-18.82,EST,0,EQUITY,2000-08-10
36,UVV,Universal Corporation,2000-05-04T00:00:00.000Z,TNS,1.23,1.29,4.88,EST,0,EQUITY,2000-05-04
37,UVV,Universal Corporation,2000-02-03T00:00:00.000Z,TNS,1.13,0.85,-24.78,EST,0,EQUITY,2000-02-03
38,UVV,Universal Corporation,1999-10-26T00:00:00.000Z,TNS,0.78,0.93,19.23,EST,0,EQUITY,1999-10-26
39,UVV,Universal Corporation,1999-08-05T00:00:00.000Z,TNS,0.86,0.91,5.81,EST,0,EQUITY,1999-08-05
40,UVV,Universal Corporation,1999-05-05T00:00:00.000Z,TNS,0.99,0.88,-11.41,EST,0,EQUITY,1999-05-05
41,UVV,Universal Corporation,1999-02-04T00:00:00.000Z,TNS,1.14,1.23,7.89,EST,0,EQUITY,1999-02-04
42,UVV,Universal Corporation,1998-10-27T00:00:00.000Z,TNS,0.87,0.78,-10.0,EST,0,EQUITY,1998-10-27
43,UVV,Universal Corporation,1998-08-05T00:00:00.000Z,TNS,0.69,1.1,58.84,EST,0,EQUITY,1998-08-05
44,UVV,Universal Corporation,1998-05-06T00:00:00.000Z,TNS,0.87,0.89,2.89,EST,0,EQUITY,1998-05-06
45,UVV,Universal Corporation,1998-02-05T00:00:00.000Z,TNS,1.06,1.08,1.89,EST,0,EQUITY,1998-02-05
46,UVV,Universal Corporation,1997-10-28T00:00:00.000Z,TNS,0.72,0.93,29.17,EST,0,EQUITY,1997-10-28
47,UVV,Universal Corporation,1997-08-07T00:00:00.000Z,TNS,0.6,0.63,5.0,EST,0,EQUITY,1997-08-07
48,UVV,Universal Corporation,1997-05-01T00:00:00.000Z,TNS,0.64,0.79,24.41,EST,0,EQUITY,1997-05-01
49,UVV,Universal Corporation,1997-02-06T00:00:00.000Z,TNS,0.82,0.9,9.76,EST,0,EQUITY,1997-02-06
50,UVV,Universal Corporation,1996-10-22T00:00:00.000Z,TNS,0.38,0.57,48.7,EST,0,EQUITY,1996-10-22
51,UVV,Universal Corporation,1996-08-01T00:00:00.000Z,TNS,0.3,0.43,43.33,EST,0,EQUITY,1996-08-01
52,UVV,Universal Corporation,1996-05-01T00:00:00.000Z,TNS,0.42,0.53,26.95,EST,0,EQUITY,1996-05-01
53,UVV,Universal Corporation,1996-02-01T00:00:00.000Z,TNS,0.62,0.78,25.81,EST,0,EQUITY,1996-02-01
54,UVV,Universal Corporation,1995-10-24T00:00:00.000Z,TNS,0.3,0.29,-3.33,EST,0,EQUITY,1995-10-24
55,UVV,Universal Corporation,1995-08-03T00:00:00.000Z,TNS,0.1,0.18,84.62,EST,0,EQUITY,1995-08-03
56,UVV,Universal Corporation,1995-05-04T00:00:00.000Z,TNS,0.39,0.29,-24.87,EST,0,EQUITY,1995-05-04
57,UVV,Universal Corporation,1995-02-02T00:00:00.000Z,TNS,0.5,0.43,-13.13,EST,0,EQUITY,1995-02-02
58,UVV,Universal Corporation,1994-10-25T00:00:00.000Z,TNS,0.42,0.17,-59.52,EST,0,EQUITY,1994-10-25
59,UVV,Universal Corporation,1994-08-04T00:00:00.000Z,TNS,0.0,0.06,2300.0,EST,0,EQUITY,1994-08-04
60,UVV,Universal Corporation,1994-05-05T00:00:00.000Z,TNS,0.37,0.26,-29.73,EST,0,EQUITY,1994-05-05
61,UVV,Universal Corporation,1994-02-04T00:00:00.000Z,TNS,1.0,0.57,-43.19,EST,0,EQUITY,1994-02-04
62,UVV,Universal Corporation,1993-10-25T00:00:00.000Z,TNS,0.82,0.52,-36.59,EST,0,EQUITY,1993-10-25
63,UVV,Universal Corporation,1993-08-05T00:00:00.000Z,TNS,0.1,0.06,-40.0,EST,0,EQUITY,1993-08-05
64,UVV,Universal Corporation,1993-05-10T00:00:00.000Z,TNS,0.56,0.58,4.04,EST,0,EQUITY,1993-05-10
65,UVV,Universal Corporation,1993-02-05T00:00:00.000Z,TNS,1.0,1.08,7.46,EST,0,EQUITY,1993-02-05
