,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,VAC,Marriott Vacations Worldwide Corporation,2021-11-08T00:00:00.000Z,TNS,1.42,1.6,12.6,EST,0,EQUITY,2021-11-08
1,VAC,Marriott Vacations Worldwide Corporation,2021-07-28T00:00:00.000Z,TNS,0.91,0.85,-7.0,EST,0,EQUITY,2021-07-28
2,VAC,Marriott Vacations Worldwide Corporation,2021-05-05T00:00:00.000Z,TNS,-0.27,-0.49,-80.15,EST,0,EQUITY,2021-05-05
3,VAC,Marriott Vacations Worldwide Corporation,2021-02-24T00:00:00.000Z,TNS,-0.02,-0.05,-150.0,EST,0,EQUITY,2021-02-24
4,VAC,Marriott Vacations Worldwide Corporation,2020-11-04T00:00:00.000Z,TNS,-0.59,-0.81,-37.06,EST,0,EQUITY,2020-11-04
5,VAC,Marriott Vacations Worldwide Corporation,2020-07-29T00:00:00.000Z,TNS,-1.24,-1.76,-41.94,EST,0,EQUITY,2020-07-29
6,VAC,Marriott Vacations Worldwide Corporation,2020-05-22T00:00:00.000Z,TNS,1.71,2.15,25.95,EST,0,EQUITY,2020-05-22
7,VAC,Marriott Vacations Worldwide Corporation,2020-02-26T00:00:00.000Z,TNS,2.57,2.43,-5.52,EST,0,EQUITY,2020-02-26
8,VAC,Marriott Vacations Worldwide Corporation,2019-11-04T00:00:00.000Z,TNS,2.03,1.97,-2.81,EST,0,EQUITY,2019-11-04
9,VAC,Marriott Vacations Worldwide Corporation,2019-07-31T00:00:00.000Z,TNS,1.77,1.99,12.37,EST,0,EQUITY,2019-07-31
10,VAC,Marriott Vacations Worldwide Corporation,2019-05-07T00:00:00.000Z,TNS,1.64,1.45,-11.37,EST,0,EQUITY,2019-05-07
11,VAC,Marriott Vacations Worldwide Corporation,2019-02-28T00:00:00.000Z,TNS,1.32,1.49,12.62,EST,0,EQUITY,2019-02-28
12,VAC,Marriott Vacations Worldwide Corporation,2018-11-07T00:00:00.000Z,TNS,1.8,1.42,-21.11,EST,0,EQUITY,2018-11-07
13,VAC,Marriott Vacations Worldwide Corporation,2018-08-02T00:00:00.000Z,TNS,1.82,1.59,-12.78,EST,0,EQUITY,2018-08-02
14,VAC,Marriott Vacations Worldwide Corporation,2018-05-03T00:00:00.000Z,TNS,1.54,1.39,-9.45,EST,0,EQUITY,2018-05-03
15,VAC,Marriott Vacations Worldwide Corporation,2018-02-27T00:00:00.000Z,TNS,1.16,1.56,34.95,EST,0,EQUITY,2018-02-27
16,VAC,Marriott Vacations Worldwide Corporation,2017-11-02T00:00:00.000Z,TNS,1.16,1.41,21.55,EST,0,EQUITY,2017-11-02
17,VAC,Marriott Vacations Worldwide Corporation,2017-08-03T00:00:00.000Z,TNS,1.27,1.6,26.18,EST,0,EQUITY,2017-08-03
