,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,VCYT,Veracyte Inc,2021-11-09T16:05:00.000Z,TAS,-0.16,-0.2,-25.0,EST,-18000000,EQUITY,2021-11-09
2,VCYT,"Veracyte, Inc.",2021-07-29T00:00:00.000Z,TNS,-0.25,-0.13,48.41,EST,0,EQUITY,2021-07-29
3,VCYT,"Veracyte, Inc.",2021-05-10T00:00:00.000Z,TNS,-0.12,-0.66,-450.0,EST,0,EQUITY,2021-05-10
4,VCYT,"Veracyte, Inc.",2021-02-17T00:00:00.000Z,TNS,-0.11,-0.14,-29.63,EST,0,EQUITY,2021-02-17
5,VCYT,"Veracyte, Inc.",2020-11-02T00:00:00.000Z,TNS,-0.21,-0.08,61.9,EST,0,EQUITY,2020-11-02
6,VCYT,"Veracyte, Inc.",2020-07-30T00:00:00.000Z,TNS,-0.24,-0.22,9.84,EST,0,EQUITY,2020-07-30
7,VCYT,"Veracyte, Inc.",2020-05-06T00:00:00.000Z,TNS,-0.2,-0.24,-21.83,EST,0,EQUITY,2020-05-06
8,VCYT,"Veracyte, Inc.",2020-02-25T00:00:00.000Z,TNS,-0.07,-0.15,-100.0,EST,0,EQUITY,2020-02-25
9,VCYT,"Veracyte, Inc.",2019-10-22T00:00:00.000Z,TNS,-0.07,-0.02,72.6,EST,0,EQUITY,2019-10-22
10,VCYT,"Veracyte, Inc.",2019-07-30T00:00:00.000Z,TNS,-0.1,-0.05,48.98,EST,0,EQUITY,2019-07-30
11,VCYT,"Veracyte, Inc.",2019-04-30T00:00:00.000Z,TNS,-0.1,-0.05,50.0,EST,0,EQUITY,2019-04-30
12,VCYT,"Veracyte, Inc.",2019-02-25T00:00:00.000Z,TNS,-0.15,-0.08,45.95,EST,0,EQUITY,2019-02-25
13,VCYT,"Veracyte, Inc.",2018-10-29T00:00:00.000Z,TNS,-0.24,-0.12,51.02,EST,0,EQUITY,2018-10-29
14,VCYT,"Veracyte, Inc.",2018-07-23T00:00:00.000Z,TNS,-0.27,-0.18,33.33,EST,0,EQUITY,2018-07-23
15,VCYT,"Veracyte, Inc.",2018-05-01T00:00:00.000Z,TNS,-0.25,-0.27,-7.14,EST,0,EQUITY,2018-05-01
16,VCYT,"Veracyte, Inc.",2018-02-27T00:00:00.000Z,TNS,-0.2,-0.24,-21.21,EST,0,EQUITY,2018-02-27
17,VCYT,"Veracyte, Inc.",2017-11-06T00:00:00.000Z,TNS,-0.23,-0.21,8.7,EST,0,EQUITY,2017-11-06
18,VCYT,"Veracyte, Inc.",2017-07-31T00:00:00.000Z,TNS,-0.25,-0.22,11.29,EST,0,EQUITY,2017-07-31
19,VCYT,"Veracyte, Inc.",2017-05-03T00:00:00.000Z,TNS,-0.25,-0.24,4.38,EST,0,EQUITY,2017-05-03
20,VCYT,"Veracyte, Inc.",2017-03-01T00:00:00.000Z,TNS,-0.26,-0.14,46.56,EST,0,EQUITY,2017-03-01
21,VCYT,"Veracyte, Inc.",2016-11-03T00:00:00.000Z,TNS,-0.36,-0.2,43.82,EST,0,EQUITY,2016-11-03
22,VCYT,"Veracyte, Inc.",2016-08-03T00:00:00.000Z,TNS,-0.33,-0.4,-19.76,EST,0,EQUITY,2016-08-03
23,VCYT,"Veracyte, Inc.",2016-05-05T00:00:00.000Z,TNS,-0.35,-0.36,-3.15,EST,0,EQUITY,2016-05-05
24,VCYT,"Veracyte, Inc.",2016-03-10T00:00:00.000Z,TNS,-0.3,-0.29,4.29,EST,0,EQUITY,2016-03-10
25,VCYT,"Veracyte, Inc.",2015-11-05T00:00:00.000Z,TNS,-0.33,-0.32,1.84,EST,0,EQUITY,2015-11-05
26,VCYT,"Veracyte, Inc.",2015-08-13T00:00:00.000Z,TNS,-0.31,-0.35,-14.38,EST,0,EQUITY,2015-08-13
27,VCYT,"Veracyte, Inc.",2015-05-14T00:00:00.000Z,TNS,-0.37,-0.34,7.1,EST,0,EQUITY,2015-05-14
28,VCYT,"Veracyte, Inc.",2015-03-19T00:00:00.000Z,TNS,-0.33,-0.36,-9.09,EST,0,EQUITY,2015-03-19
29,VCYT,"Veracyte, Inc.",2014-11-13T00:00:00.000Z,TNS,-0.35,-0.37,-6.63,EST,0,EQUITY,2014-11-13
30,VCYT,"Veracyte, Inc.",2014-08-13T00:00:00.000Z,TNS,-0.33,-0.31,5.49,EST,0,EQUITY,2014-08-13
31,VCYT,"Veracyte, Inc.",2014-05-09T00:00:00.000Z,TNS,-0.3,-0.32,-5.5,EST,0,EQUITY,2014-05-09
32,VCYT,"Veracyte, Inc.",2014-03-18T00:00:00.000Z,TNS,-0.38,-0.42,-11.5,EST,0,EQUITY,2014-03-18
