,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,VEEV,Veeva Systems Inc.,2021-12-01T00:00:00.000Z,TNS,0.88,0.97,10.6,EST,0,EQUITY,2021-12-01
1,VEEV,Veeva Systems Inc.,2021-09-01T00:00:00.000Z,TNS,0.87,0.94,8.42,EST,0,EQUITY,2021-09-01
2,VEEV,Veeva Systems Inc.,2021-05-27T00:00:00.000Z,TNS,0.78,0.91,16.52,EST,0,EQUITY,2021-05-27
3,VEEV,Veeva Systems Inc.,2021-03-02T00:00:00.000Z,TNS,0.68,0.78,15.21,EST,0,EQUITY,2021-03-02
4,VEEV,Veeva Systems Inc.,2020-12-01T00:00:00.000Z,TNS,0.68,0.78,14.71,EST,0,EQUITY,2020-12-01
5,VEEV,Veeva Systems Inc.,2020-08-27T00:00:00.000Z,TNS,0.64,0.72,12.68,EST,0,EQUITY,2020-08-27
6,VEEV,Veeva Systems Inc.,2020-05-28T00:00:00.000Z,TNS,0.58,0.66,13.6,EST,0,EQUITY,2020-05-28
7,VEEV,Veeva Systems Inc.,2020-03-03T00:00:00.000Z,TNS,0.52,0.54,3.65,EST,0,EQUITY,2020-03-03
8,VEEV,Veeva Systems Inc.,2019-11-26T00:00:00.000Z,TNS,0.54,0.6,11.32,EST,0,EQUITY,2019-11-26
9,VEEV,Veeva Systems Inc.,2019-08-27T00:00:00.000Z,TNS,0.49,0.55,11.79,EST,0,EQUITY,2019-08-27
10,VEEV,Veeva Systems Inc.,2019-05-29T00:00:00.000Z,TNS,0.45,0.5,11.36,EST,0,EQUITY,2019-05-29
11,VEEV,Veeva Systems Inc.,2019-02-26T00:00:00.000Z,TNS,0.4,0.45,12.5,EST,0,EQUITY,2019-02-26
12,VEEV,Veeva Systems Inc.,2018-11-28T00:00:00.000Z,TNS,0.38,0.45,18.11,EST,0,EQUITY,2018-11-28
13,VEEV,Veeva Systems Inc.,2018-08-23T00:00:00.000Z,TNS,0.34,0.39,15.73,EST,0,EQUITY,2018-08-23
14,VEEV,Veeva Systems Inc.,2018-05-24T00:00:00.000Z,TNS,0.31,0.33,7.84,EST,0,EQUITY,2018-05-24
15,VEEV,Veeva Systems Inc.,2018-02-27T00:00:00.000Z,TNS,0.21,0.23,7.98,EST,0,EQUITY,2018-02-27
16,VEEV,Veeva Systems Inc.,2017-12-05T00:00:00.000Z,TNS,0.22,0.25,16.28,EST,0,EQUITY,2017-12-05
17,VEEV,Veeva Systems Inc.,2017-08-24T00:00:00.000Z,TNS,0.2,0.23,17.35,EST,0,EQUITY,2017-08-24
18,VEEV,Veeva Systems Inc.,2017-05-25T00:00:00.000Z,TNS,0.18,0.22,21.55,EST,0,EQUITY,2017-05-25
19,VEEV,Veeva Systems Inc.,2017-02-28T00:00:00.000Z,TNS,0.17,0.22,28.65,EST,0,EQUITY,2017-02-28
20,VEEV,Veeva Systems Inc.,2016-11-22T00:00:00.000Z,TNS,0.16,0.22,38.36,EST,0,EQUITY,2016-11-22
21,VEEV,Veeva Systems Inc.,2016-08-30T00:00:00.000Z,TNS,0.13,0.15,15.38,EST,0,EQUITY,2016-08-30
22,VEEV,Veeva Systems Inc.,2016-05-26T00:00:00.000Z,TNS,0.11,0.15,36.36,EST,0,EQUITY,2016-05-26
23,VEEV,Veeva Systems Inc.,2016-03-01T00:00:00.000Z,TNS,0.11,0.15,38.89,EST,0,EQUITY,2016-03-01
24,VEEV,Veeva Systems Inc.,2015-11-24T00:00:00.000Z,TNS,0.11,0.12,12.15,EST,0,EQUITY,2015-11-24
25,VEEV,Veeva Systems Inc.,2015-08-27T00:00:00.000Z,TNS,0.11,0.13,18.18,EST,0,EQUITY,2015-08-27
26,VEEV,Veeva Systems Inc.,2015-05-28T00:00:00.000Z,TNS,0.1,0.12,22.45,EST,0,EQUITY,2015-05-28
27,VEEV,Veeva Systems Inc.,2015-03-03T00:00:00.000Z,TNS,0.09,0.12,31.87,EST,0,EQUITY,2015-03-03
28,VEEV,Veeva Systems Inc.,2014-11-25T00:00:00.000Z,TNS,0.08,0.09,13.92,EST,0,EQUITY,2014-11-25
29,VEEV,Veeva Systems Inc.,2014-08-28T00:00:00.000Z,TNS,0.07,0.09,30.43,EST,0,EQUITY,2014-08-28
30,VEEV,Veeva Systems Inc.,2014-05-29T00:00:00.000Z,TNS,0.05,0.07,32.43,EST,0,EQUITY,2014-05-29
31,VEEV,Veeva Systems Inc.,2014-03-04T00:00:00.000Z,TNS,0.06,0.07,20.01,EST,0,EQUITY,2014-03-04
32,VEEV,Veeva Systems Inc.,2013-12-05T00:00:00.000Z,TNS,0.05,0.06,20.0,EST,0,EQUITY,2013-12-05
