,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,WBA,Walgreens Boots Alliance Inc,2021-10-14T07:00:00.000Z,TAS,1.02,1.17,14.71,EST,-18000000,EQUITY,2021-10-14
6,WBA,"Walgreens Boots Alliance, Inc.",2021-07-01T00:00:00.000Z,TNS,1.17,1.38,18.35,EST,0,EQUITY,2021-07-01
7,WBA,"Walgreens Boots Alliance, Inc.",2021-03-31T00:00:00.000Z,TNS,1.11,1.26,13.72,EST,0,EQUITY,2021-03-31
8,WBA,"Walgreens Boots Alliance, Inc.",2021-01-07T00:00:00.000Z,TNS,1.03,1.22,18.79,EST,0,EQUITY,2021-01-07
9,WBA,"Walgreens Boots Alliance, Inc.",2020-10-15T00:00:00.000Z,TNS,0.96,1.02,6.25,EST,0,EQUITY,2020-10-15
10,WBA,"Walgreens Boots Alliance, Inc.",2020-07-09T00:00:00.000Z,TNS,1.17,0.83,-29.06,EST,0,EQUITY,2020-07-09
11,WBA,"Walgreens Boots Alliance, Inc.",2020-04-02T00:00:00.000Z,TNS,1.46,1.52,4.25,EST,0,EQUITY,2020-04-02
12,WBA,"Walgreens Boots Alliance, Inc.",2020-01-08T00:00:00.000Z,TNS,1.41,1.37,-3.04,EST,0,EQUITY,2020-01-08
13,WBA,"Walgreens Boots Alliance, Inc.",2019-10-28T00:00:00.000Z,TNS,1.41,1.43,1.35,EST,0,EQUITY,2019-10-28
14,WBA,"Walgreens Boots Alliance, Inc.",2019-06-27T00:00:00.000Z,TNS,1.43,1.47,2.51,EST,0,EQUITY,2019-06-27
15,WBA,"Walgreens Boots Alliance, Inc.",2019-04-02T00:00:00.000Z,TNS,1.72,1.64,-4.71,EST,0,EQUITY,2019-04-02
16,WBA,"Walgreens Boots Alliance, Inc.",2018-12-20T00:00:00.000Z,TNS,1.43,1.46,1.88,EST,0,EQUITY,2018-12-20
17,WBA,"Walgreens Boots Alliance, Inc.",2018-10-11T00:00:00.000Z,TNS,1.45,1.48,2.35,EST,0,EQUITY,2018-10-11
18,WBA,"Walgreens Boots Alliance, Inc.",2018-06-28T00:00:00.000Z,TNS,1.48,1.53,3.66,EST,0,EQUITY,2018-06-28
19,WBA,"Walgreens Boots Alliance, Inc.",2018-03-28T00:00:00.000Z,TNS,1.55,1.73,11.76,EST,0,EQUITY,2018-03-28
20,WBA,"Walgreens Boots Alliance, Inc.",2018-01-04T00:00:00.000Z,TNS,1.26,1.28,1.35,EST,0,EQUITY,2018-01-04
21,WBA,"Walgreens Boots Alliance, Inc.",2017-10-25T00:00:00.000Z,TNS,1.21,1.31,8.44,EST,0,EQUITY,2017-10-25
