,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,WES,Western Midstream Partners LP,2021-11-10T14:00:00.000Z,TAS,0.63,0.61,-3.17,EST,-18000000,EQUITY,2021-11-10
5,WES,"Western Midstream Partners, LP",2021-11-09T00:00:00.000Z,TNS,0.63,0.61,-3.17,EST,0,EQUITY,2021-11-09
6,WES,"Western Midstream Partners, LP",2021-08-09T00:00:00.000Z,TNS,0.57,0.55,-4.18,EST,0,EQUITY,2021-08-09
7,WES,"Western Midstream Partners, LP",2021-05-10T00:00:00.000Z,TNS,0.54,0.44,-18.52,EST,0,EQUITY,2021-05-10
8,WES,"Western Midstream Partners, LP",2021-02-23T00:00:00.000Z,TNS,0.58,0.62,6.71,EST,0,EQUITY,2021-02-23
9,WES,"Western Midstream Partners, LP",2020-11-09T00:00:00.000Z,TNS,0.5,0.55,10.0,EST,0,EQUITY,2020-11-09
10,WES,"Western Midstream Partners, LP",2020-08-10T00:00:00.000Z,TNS,0.5,0.6,20.24,EST,0,EQUITY,2020-08-10
11,WES,"Western Midstream Partners, LP",2020-05-05T00:00:00.000Z,TNS,0.51,-0.57,-212.65,EST,0,EQUITY,2020-05-05
12,WES,"Western Midstream Partners, LP",2020-02-27T00:00:00.000Z,TNS,0.46,0.62,35.96,EST,0,EQUITY,2020-02-27
13,WES,"Western Midstream Partners, LP",2019-11-04T00:00:00.000Z,TNS,0.44,0.27,-38.91,EST,0,EQUITY,2019-11-04
14,WES,"Western Midstream Partners, LP",2019-07-30T00:00:00.000Z,TNS,0.54,0.37,-30.97,EST,0,EQUITY,2019-07-30
15,WES,"Western Midstream Partners, LP",2019-04-30T00:00:00.000Z,TNS,0.49,0.3,-39.27,EST,0,EQUITY,2019-04-30
16,WES,"Western Midstream Partners, LP",2019-02-14T00:00:00.000Z,TNS,0.6,0.43,-28.81,EST,0,EQUITY,2019-02-14
17,WES,"Western Midstream Partners, LP",2018-10-31T00:00:00.000Z,TNS,0.62,0.49,-21.1,EST,0,EQUITY,2018-10-31
18,WES,"Western Midstream Partners, LP",2018-07-31T00:00:00.000Z,TNS,0.42,0.31,-26.37,EST,0,EQUITY,2018-07-31
19,WES,"Western Midstream Partners, LP",2018-05-02T00:00:00.000Z,TNS,0.41,0.46,11.65,EST,0,EQUITY,2018-05-02
20,WES,"Western Midstream Partners, LP",2018-02-15T00:00:00.000Z,TNS,0.4,0.45,13.64,EST,0,EQUITY,2018-02-15
21,WES,"Western Midstream Partners, LP",2017-11-01T00:00:00.000Z,TNS,0.41,0.44,6.54,EST,0,EQUITY,2017-11-01
22,WES,"Western Midstream Partners, LP",2017-07-26T00:00:00.000Z,TNS,0.44,0.48,8.6,EST,0,EQUITY,2017-07-26
23,WES,"Western Midstream Partners, LP",2017-05-03T00:00:00.000Z,TNS,0.39,0.35,-10.03,EST,0,EQUITY,2017-05-03
24,WES,"Western Midstream Partners, LP",2017-02-23T00:00:00.000Z,TNS,0.36,0.41,14.85,EST,0,EQUITY,2017-02-23
25,WES,"Western Midstream Partners, LP",2016-11-02T00:00:00.000Z,TNS,0.39,0.45,15.38,EST,0,EQUITY,2016-11-02
26,WES,"Western Midstream Partners, LP",2016-07-27T00:00:00.000Z,TNS,0.33,0.41,25.77,EST,0,EQUITY,2016-07-27
27,WES,"Western Midstream Partners, LP",2016-05-04T00:00:00.000Z,TNS,0.27,0.32,19.4,EST,0,EQUITY,2016-05-04
28,WES,"Western Midstream Partners, LP",2016-02-25T00:00:00.000Z,TNS,0.26,-0.23,-187.45,EST,0,EQUITY,2016-02-25
29,WES,"Western Midstream Partners, LP",2015-10-30T00:00:00.000Z,TNS,0.25,0.61,147.97,EST,0,EQUITY,2015-10-30
30,WES,"Western Midstream Partners, LP",2015-07-30T00:00:00.000Z,TNS,0.25,0.31,25.0,EST,0,EQUITY,2015-07-30
31,WES,"Western Midstream Partners, LP",2015-05-06T00:00:00.000Z,TNS,0.26,0.25,-2.72,EST,0,EQUITY,2015-05-06
32,WES,"Western Midstream Partners, LP",2015-02-18T00:00:00.000Z,TNS,0.26,0.26,1.56,EST,0,EQUITY,2015-02-18
33,WES,"Western Midstream Partners, LP",2014-10-28T00:00:00.000Z,TNS,0.27,0.27,1.5,EST,0,EQUITY,2014-10-28
34,WES,"Western Midstream Partners, LP",2014-08-06T00:00:00.000Z,TNS,0.24,0.25,4.44,EST,0,EQUITY,2014-08-06
35,WES,"Western Midstream Partners, LP",2014-05-07T00:00:00.000Z,TNS,0.21,0.23,11.92,EST,0,EQUITY,2014-05-07
36,WES,"Western Midstream Partners, LP",2014-02-28T00:00:00.000Z,TNS,0.18,0.22,22.91,EST,0,EQUITY,2014-02-28
37,WES,"Western Midstream Partners, LP",2013-11-06T00:00:00.000Z,TNS,0.16,0.2,27.74,EST,0,EQUITY,2013-11-06
38,WES,"Western Midstream Partners, LP",2013-07-31T00:00:00.000Z,TNS,0.13,0.16,20.0,EST,0,EQUITY,2013-07-31
39,WES,"Western Midstream Partners, LP",2013-05-06T00:00:00.000Z,TNS,0.13,0.15,13.64,EST,0,EQUITY,2013-05-06
40,WES,"Western Midstream Partners, LP",2013-02-27T00:00:00.000Z,TNS,0.13,-0.01,-107.55,EST,0,EQUITY,2013-02-27
