,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,WMB,Williams Companies Inc,2021-11-01T16:15:00.000Z,TAS,0.28,0.34,21.43,EST,-18000000,EQUITY,2021-11-01
2,WMB,"The Williams Companies, Inc.",2021-08-02T00:00:00.000Z,TNS,0.28,0.27,-3.57,EST,0,EQUITY,2021-08-02
3,WMB,"The Williams Companies, Inc.",2021-05-03T00:00:00.000Z,TNS,0.29,0.35,19.86,EST,0,EQUITY,2021-05-03
4,WMB,"The Williams Companies, Inc.",2021-02-22T00:00:00.000Z,TNS,0.31,0.09,-70.68,EST,0,EQUITY,2021-02-22
5,WMB,"The Williams Companies, Inc.",2020-11-02T00:00:00.000Z,TNS,0.27,0.25,-7.75,EST,0,EQUITY,2020-11-02
6,WMB,"The Williams Companies, Inc.",2020-08-03T00:00:00.000Z,TNS,0.24,0.25,3.31,EST,0,EQUITY,2020-08-03
7,WMB,"The Williams Companies, Inc.",2020-05-04T00:00:00.000Z,TNS,0.26,-0.43,-263.5,EST,0,EQUITY,2020-05-04
8,WMB,"The Williams Companies, Inc.",2020-02-19T00:00:00.000Z,TNS,0.24,0.24,-1.64,EST,0,EQUITY,2020-02-19
9,WMB,"The Williams Companies, Inc.",2019-10-30T00:00:00.000Z,TNS,0.25,0.26,4.84,EST,0,EQUITY,2019-10-30
10,WMB,"The Williams Companies, Inc.",2019-07-31T00:00:00.000Z,TNS,0.23,0.26,15.56,EST,0,EQUITY,2019-07-31
11,WMB,"The Williams Companies, Inc.",2019-05-01T00:00:00.000Z,TNS,0.22,0.22,0.92,EST,0,EQUITY,2019-05-01
12,WMB,"The Williams Companies, Inc.",2019-02-13T00:00:00.000Z,TNS,0.24,0.19,-21.49,EST,0,EQUITY,2019-02-13
13,WMB,"The Williams Companies, Inc.",2018-10-31T00:00:00.000Z,TNS,0.21,0.13,-38.39,EST,0,EQUITY,2018-10-31
14,WMB,"The Williams Companies, Inc.",2018-08-01T00:00:00.000Z,TNS,0.18,0.16,-9.6,EST,0,EQUITY,2018-08-01
15,WMB,"The Williams Companies, Inc.",2018-05-02T00:00:00.000Z,TNS,0.21,0.18,-15.09,EST,0,EQUITY,2018-05-02
16,WMB,"The Williams Companies, Inc.",2018-02-14T00:00:00.000Z,TNS,0.2,0.36,80.0,EST,0,EQUITY,2018-02-14
17,WMB,"The Williams Companies, Inc.",2017-11-01T00:00:00.000Z,TNS,0.18,0.04,-77.14,EST,0,EQUITY,2017-11-01
18,WMB,"The Williams Companies, Inc.",2017-08-02T00:00:00.000Z,TNS,0.21,0.1,-51.92,EST,0,EQUITY,2017-08-02
19,WMB,"The Williams Companies, Inc.",2017-05-03T00:00:00.000Z,TNS,0.21,0.45,112.26,EST,0,EQUITY,2017-05-03
20,WMB,"The Williams Companies, Inc.",2017-02-15T00:00:00.000Z,TNS,0.18,-0.02,-110.99,EST,0,EQUITY,2017-02-15
21,WMB,"The Williams Companies, Inc.",2016-10-31T00:00:00.000Z,TNS,0.17,0.08,-52.94,EST,0,EQUITY,2016-10-31
22,WMB,"The Williams Companies, Inc.",2016-08-01T00:00:00.000Z,TNS,0.2,-0.54,-371.36,EST,0,EQUITY,2016-08-01
23,WMB,"The Williams Companies, Inc.",2016-05-04T00:00:00.000Z,TNS,0.34,-0.09,-126.87,EST,0,EQUITY,2016-05-04
