,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,WMS,Advanced Drainage Systems Inc,2021-11-04T06:45:00.000Z,TAS,1.13,0.88,-22.12,EST,-18000000,EQUITY,2021-11-04
4,WMS,"Advanced Drainage Systems, Inc.",2021-08-05T00:00:00.000Z,TNS,1.26,0.87,-31.23,EST,0,EQUITY,2021-08-05
5,WMS,"Advanced Drainage Systems, Inc.",2021-05-20T00:00:00.000Z,TNS,0.32,0.23,-27.67,EST,0,EQUITY,2021-05-20
6,WMS,"Advanced Drainage Systems, Inc.",2021-02-04T00:00:00.000Z,TNS,0.47,0.62,31.91,EST,0,EQUITY,2021-02-04
7,WMS,"Advanced Drainage Systems, Inc.",2020-11-05T00:00:00.000Z,TNS,1.05,0.93,-11.6,EST,0,EQUITY,2020-11-05
8,WMS,"Advanced Drainage Systems, Inc.",2020-08-06T00:00:00.000Z,TNS,0.68,0.83,21.35,EST,0,EQUITY,2020-08-06
9,WMS,"Advanced Drainage Systems, Inc.",2020-05-21T00:00:00.000Z,TNS,0.04,0.01,-71.43,EST,0,EQUITY,2020-05-21
10,WMS,"Advanced Drainage Systems, Inc.",2020-02-06T00:00:00.000Z,TNS,0.33,0.28,-14.11,EST,0,EQUITY,2020-02-06
11,WMS,"Advanced Drainage Systems, Inc.",2019-11-07T00:00:00.000Z,TNS,0.51,0.1,-80.28,EST,0,EQUITY,2019-11-07
12,WMS,"Advanced Drainage Systems, Inc.",2019-08-01T00:00:00.000Z,TNS,0.55,-4.06,-843.59,EST,0,EQUITY,2019-08-01
13,WMS,"Advanced Drainage Systems, Inc.",2019-05-23T00:00:00.000Z,TNS,0.01,0.01,100.0,EST,0,EQUITY,2019-05-23
14,WMS,"Advanced Drainage Systems, Inc.",2019-02-07T00:00:00.000Z,TNS,0.32,0.25,-20.63,EST,0,EQUITY,2019-02-07
15,WMS,"Advanced Drainage Systems, Inc.",2018-11-08T00:00:00.000Z,TNS,0.48,0.45,-6.64,EST,0,EQUITY,2018-11-08
16,WMS,"Advanced Drainage Systems, Inc.",2018-08-09T00:00:00.000Z,TNS,0.4,0.51,26.87,EST,0,EQUITY,2018-08-09
17,WMS,"Advanced Drainage Systems, Inc.",2018-05-29T00:00:00.000Z,TNS,-0.06,-0.03,47.37,EST,0,EQUITY,2018-05-29
18,WMS,"Advanced Drainage Systems, Inc.",2018-02-08T00:00:00.000Z,TNS,0.2,0.28,37.93,EST,0,EQUITY,2018-02-08
19,WMS,"Advanced Drainage Systems, Inc.",2017-11-02T00:00:00.000Z,TNS,0.36,0.28,-22.22,EST,0,EQUITY,2017-11-02
20,WMS,"Advanced Drainage Systems, Inc.",2017-08-03T00:00:00.000Z,TNS,0.35,0.27,-23.51,EST,0,EQUITY,2017-08-03
21,WMS,"Advanced Drainage Systems, Inc.",2017-05-25T00:00:00.000Z,TNS,-0.07,-0.22,-214.29,EST,0,EQUITY,2017-05-25
22,WMS,"Advanced Drainage Systems, Inc.",2017-02-09T00:00:00.000Z,TNS,0.14,0.16,11.89,EST,0,EQUITY,2017-02-09
23,WMS,"Advanced Drainage Systems, Inc.",2017-01-12T00:00:00.000Z,TNS,0.28,0.35,26.35,EST,0,EQUITY,2017-01-12
24,WMS,"Advanced Drainage Systems, Inc.",2016-10-06T00:00:00.000Z,TNS,0.24,0.37,52.26,EST,0,EQUITY,2016-10-06
25,WMS,"Advanced Drainage Systems, Inc.",2016-06-07T00:00:00.000Z,TNS,-0.03,-0.11,-233.33,EST,0,EQUITY,2016-06-07
26,WMS,"Advanced Drainage Systems, Inc.",2016-05-31T00:00:00.000Z,TNS,0.16,0.15,-3.23,EST,0,EQUITY,2016-05-31
27,WMS,"Advanced Drainage Systems, Inc.",2015-05-12T00:00:00.000Z,TNS,-0.06,0.0,100.0,EST,0,EQUITY,2015-05-12
28,WMS,"Advanced Drainage Systems, Inc.",2015-02-05T00:00:00.000Z,TNS,0.14,0.03,-79.02,EST,0,EQUITY,2015-02-05
29,WMS,"Advanced Drainage Systems, Inc.",2014-11-05T00:00:00.000Z,TNS,0.31,0.35,14.01,EST,0,EQUITY,2014-11-05
30,WMS,"Advanced Drainage Systems, Inc.",2014-09-03T00:00:00.000Z,TNS,0.25,0.25,0.0,EST,0,EQUITY,2014-09-03
