,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,WU,Western Union Co,2021-11-02T16:05:00.000Z,TAS,0.57,0.63,10.53,EST,-18000000,EQUITY,2021-11-02
5,WU,The Western Union Company,2021-08-04T00:00:00.000Z,TNS,0.48,0.48,0.42,EST,0,EQUITY,2021-08-04
6,WU,The Western Union Company,2021-05-04T00:00:00.000Z,TNS,0.44,0.44,-0.68,EST,0,EQUITY,2021-05-04
7,WU,The Western Union Company,2021-02-10T00:00:00.000Z,TNS,0.42,0.45,7.4,EST,0,EQUITY,2021-02-10
8,WU,The Western Union Company,2020-10-29T00:00:00.000Z,TNS,0.46,0.57,23.11,EST,0,EQUITY,2020-10-29
9,WU,The Western Union Company,2020-08-04T00:00:00.000Z,TNS,0.35,0.41,18.16,EST,0,EQUITY,2020-08-04
10,WU,The Western Union Company,2020-05-05T00:00:00.000Z,TNS,0.41,0.44,6.8,EST,0,EQUITY,2020-05-05
11,WU,The Western Union Company,2020-02-11T00:00:00.000Z,TNS,0.43,0.38,-11.01,EST,0,EQUITY,2020-02-11
12,WU,The Western Union Company,2019-10-31T00:00:00.000Z,TNS,0.46,0.49,6.29,EST,0,EQUITY,2019-10-31
13,WU,The Western Union Company,2019-08-01T00:00:00.000Z,TNS,0.6,0.45,-25.37,EST,0,EQUITY,2019-08-01
14,WU,The Western Union Company,2019-05-07T00:00:00.000Z,TNS,0.43,0.41,-3.98,EST,0,EQUITY,2019-05-07
15,WU,The Western Union Company,2019-02-07T00:00:00.000Z,TNS,0.49,0.49,-0.41,EST,0,EQUITY,2019-02-07
16,WU,The Western Union Company,2018-11-01T00:00:00.000Z,TNS,0.48,0.52,8.79,EST,0,EQUITY,2018-11-01
17,WU,The Western Union Company,2018-08-02T00:00:00.000Z,TNS,0.47,0.46,-2.13,EST,0,EQUITY,2018-08-02
18,WU,The Western Union Company,2018-05-01T00:00:00.000Z,TNS,0.42,0.45,6.13,EST,0,EQUITY,2018-05-01
19,WU,The Western Union Company,2018-02-13T00:00:00.000Z,TNS,0.45,0.41,-8.89,EST,0,EQUITY,2018-02-13
20,WU,The Western Union Company,2017-11-02T00:00:00.000Z,TNS,0.45,0.53,18.04,EST,0,EQUITY,2017-11-02
21,WU,The Western Union Company,2017-08-03T00:00:00.000Z,TNS,0.42,0.5,20.48,EST,0,EQUITY,2017-08-03
22,WU,The Western Union Company,2017-05-02T00:00:00.000Z,TNS,0.39,0.35,-11.17,EST,0,EQUITY,2017-05-02
23,WU,The Western Union Company,2017-02-09T00:00:00.000Z,TNS,0.43,0.47,10.07,EST,0,EQUITY,2017-02-09
24,WU,The Western Union Company,2016-11-01T00:00:00.000Z,TNS,0.44,0.44,-0.68,EST,0,EQUITY,2016-11-01
25,WU,The Western Union Company,2016-08-03T00:00:00.000Z,TNS,0.4,0.42,4.48,EST,0,EQUITY,2016-08-03
26,WU,The Western Union Company,2016-05-03T00:00:00.000Z,TNS,0.38,0.37,-2.37,EST,0,EQUITY,2016-05-03
27,WU,The Western Union Company,2016-02-09T00:00:00.000Z,TNS,0.42,0.42,0.72,EST,0,EQUITY,2016-02-09
28,WU,The Western Union Company,2015-10-29T00:00:00.000Z,TNS,0.44,0.45,2.51,EST,0,EQUITY,2015-10-29
29,WU,The Western Union Company,2015-07-30T00:00:00.000Z,TNS,0.39,0.41,4.33,EST,0,EQUITY,2015-07-30
30,WU,The Western Union Company,2015-04-30T00:00:00.000Z,TNS,0.38,0.39,3.17,EST,0,EQUITY,2015-04-30
31,WU,The Western Union Company,2015-02-10T00:00:00.000Z,TNS,0.34,0.42,23.89,EST,0,EQUITY,2015-02-10
32,WU,The Western Union Company,2014-10-30T00:00:00.000Z,TNS,0.38,0.44,14.88,EST,0,EQUITY,2014-10-30
33,WU,The Western Union Company,2014-07-31T00:00:00.000Z,TNS,0.36,0.36,-0.38,EST,0,EQUITY,2014-07-31
34,WU,The Western Union Company,2014-05-01T00:00:00.000Z,TNS,0.35,0.37,6.1,EST,0,EQUITY,2014-05-01
35,WU,The Western Union Company,2014-02-11T00:00:00.000Z,TNS,0.32,0.31,-2.61,EST,0,EQUITY,2014-02-11
36,WU,The Western Union Company,2013-10-29T00:00:00.000Z,TNS,0.35,0.39,10.88,EST,0,EQUITY,2013-10-29
37,WU,The Western Union Company,2013-07-30T00:00:00.000Z,TNS,0.34,0.36,6.84,EST,0,EQUITY,2013-07-30
38,WU,The Western Union Company,2013-04-30T00:00:00.000Z,TNS,0.32,0.38,18.13,EST,0,EQUITY,2013-04-30
39,WU,The Western Union Company,2013-02-12T00:00:00.000Z,TNS,0.35,0.42,19.44,EST,0,EQUITY,2013-02-12
40,WU,The Western Union Company,2012-10-30T00:00:00.000Z,TNS,0.45,0.46,2.79,EST,0,EQUITY,2012-10-30
41,WU,The Western Union Company,2012-07-24T00:00:00.000Z,TNS,0.43,0.46,7.0,EST,0,EQUITY,2012-07-24
42,WU,The Western Union Company,2012-04-24T00:00:00.000Z,TNS,0.4,0.4,0.59,EST,0,EQUITY,2012-04-24
43,WU,The Western Union Company,2012-02-07T00:00:00.000Z,TNS,0.4,0.39,-2.65,EST,0,EQUITY,2012-02-07
44,WU,The Western Union Company,2011-10-25T00:00:00.000Z,TNS,0.39,0.4,1.6,EST,0,EQUITY,2011-10-25
45,WU,The Western Union Company,2011-07-26T00:00:00.000Z,TNS,0.37,0.42,12.01,EST,0,EQUITY,2011-07-26
46,WU,The Western Union Company,2011-04-26T00:00:00.000Z,TNS,0.34,0.35,2.33,EST,0,EQUITY,2011-04-26
47,WU,The Western Union Company,2011-02-01T00:00:00.000Z,TNS,0.35,0.38,8.46,EST,0,EQUITY,2011-02-01
48,WU,The Western Union Company,2010-10-26T00:00:00.000Z,TNS,0.35,0.37,7.18,EST,0,EQUITY,2010-10-26
49,WU,The Western Union Company,2010-07-27T00:00:00.000Z,TNS,0.32,0.36,13.15,EST,0,EQUITY,2010-07-27
50,WU,The Western Union Company,2010-04-27T00:00:00.000Z,TNS,0.3,0.3,-0.12,EST,0,EQUITY,2010-04-27
51,WU,The Western Union Company,2010-02-03T00:00:00.000Z,TNS,0.32,0.32,-0.48,EST,0,EQUITY,2010-02-03
52,WU,The Western Union Company,2009-10-20T00:00:00.000Z,TNS,0.32,0.33,3.8,EST,0,EQUITY,2009-10-20
53,WU,The Western Union Company,2009-07-21T00:00:00.000Z,TNS,0.3,0.31,2.29,EST,0,EQUITY,2009-07-21
54,WU,The Western Union Company,2009-04-21T00:00:00.000Z,TNS,0.27,0.32,16.6,EST,0,EQUITY,2009-04-21
55,WU,The Western Union Company,2009-02-05T00:00:00.000Z,TNS,0.34,0.37,8.82,EST,0,EQUITY,2009-02-05
56,WU,The Western Union Company,2008-10-21T00:00:00.000Z,TNS,0.34,0.33,-2.81,EST,0,EQUITY,2008-10-21
57,WU,The Western Union Company,2008-07-22T00:00:00.000Z,TNS,0.31,0.33,8.04,EST,0,EQUITY,2008-07-22
58,WU,The Western Union Company,2008-04-22T00:00:00.000Z,TNS,0.28,0.29,3.07,EST,0,EQUITY,2008-04-22
59,WU,The Western Union Company,2008-01-31T00:00:00.000Z,TNS,0.31,0.32,4.4,EST,0,EQUITY,2008-01-31
60,WU,The Western Union Company,2007-10-23T00:00:00.000Z,TNS,0.28,0.28,-0.34,EST,0,EQUITY,2007-10-23
61,WU,The Western Union Company,2007-07-24T00:00:00.000Z,TNS,0.26,0.26,-1.26,EST,0,EQUITY,2007-07-24
62,WU,The Western Union Company,2007-04-24T00:00:00.000Z,TNS,0.25,0.25,1.41,EST,0,EQUITY,2007-04-24
63,WU,The Western Union Company,2007-01-31T00:00:00.000Z,TNS,0.26,0.28,8.42,EST,0,EQUITY,2007-01-31
64,WU,The Western Union Company,2006-10-23T00:00:00.000Z,TNS,0.28,0.34,21.66,EST,0,EQUITY,2006-10-23
