,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,XPO,XPO Logistics Inc,2021-11-02T16:17:01.000Z,TAS,0.93,0.94,1.08,EST,-18000000,EQUITY,2021-11-02
5,XPO,"XPO Logistics, Inc.",2021-07-28T00:00:00.000Z,TNS,1.68,1.86,11.04,EST,0,EQUITY,2021-07-28
6,XPO,"XPO Logistics, Inc.",2021-05-03T00:00:00.000Z,TNS,0.97,1.46,50.52,EST,0,EQUITY,2021-05-03
7,XPO,"XPO Logistics, Inc.",2021-02-10T00:00:00.000Z,TNS,0.67,1.19,77.35,EST,0,EQUITY,2021-02-10
8,XPO,"XPO Logistics, Inc.",2020-11-05T00:00:00.000Z,TNS,0.4,0.84,108.96,EST,0,EQUITY,2020-11-05
9,XPO,"XPO Logistics, Inc.",2020-07-30T00:00:00.000Z,TNS,-0.76,-0.63,16.67,EST,0,EQUITY,2020-07-30
10,XPO,"XPO Logistics, Inc.",2020-05-04T00:00:00.000Z,TNS,0.49,0.47,-4.47,EST,0,EQUITY,2020-05-04
11,XPO,"XPO Logistics, Inc.",2020-02-10T00:00:00.000Z,TNS,1.01,1.12,10.34,EST,0,EQUITY,2020-02-10
12,XPO,"XPO Logistics, Inc.",2019-10-28T00:00:00.000Z,TNS,1.04,1.18,13.35,EST,0,EQUITY,2019-10-28
13,XPO,"XPO Logistics, Inc.",2019-08-01T00:00:00.000Z,TNS,1.04,1.28,22.61,EST,0,EQUITY,2019-08-01
14,XPO,"XPO Logistics, Inc.",2019-05-01T00:00:00.000Z,TNS,0.39,0.51,29.77,EST,0,EQUITY,2019-05-01
15,XPO,"XPO Logistics, Inc.",2019-02-14T00:00:00.000Z,TNS,0.84,0.72,-13.98,EST,0,EQUITY,2019-02-14
16,XPO,"XPO Logistics, Inc.",2018-10-31T00:00:00.000Z,TNS,0.98,0.89,-9.46,EST,0,EQUITY,2018-10-31
17,XPO,"XPO Logistics, Inc.",2018-08-01T00:00:00.000Z,TNS,0.98,0.98,0.2,EST,0,EQUITY,2018-08-01
18,XPO,"XPO Logistics, Inc.",2018-05-02T00:00:00.000Z,TNS,0.51,0.61,19.61,EST,0,EQUITY,2018-05-02
19,XPO,"XPO Logistics, Inc.",2018-02-07T00:00:00.000Z,TNS,0.43,0.45,4.17,EST,0,EQUITY,2018-02-07
