,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ZUMZ,Zumiez Inc.,2021-12-02T00:00:00.000Z,TNS,1.09,1.25,14.47,EST,0,EQUITY,2021-12-02
1,ZUMZ,Zumiez Inc,2021-09-09T16:05:01.000Z,TAS,0.79,0.94,18.99,EST,-18000000,EQUITY,2021-09-09
3,ZUMZ,Zumiez Inc.,2021-06-03T00:00:00.000Z,TNS,0.04,1.03,2610.53,EST,0,EQUITY,2021-06-03
4,ZUMZ,Zumiez Inc.,2021-03-11T00:00:00.000Z,TNS,1.63,1.68,2.94,EST,0,EQUITY,2021-03-11
5,ZUMZ,Zumiez Inc.,2020-12-03T00:00:00.000Z,TNS,0.76,1.16,52.63,EST,0,EQUITY,2020-12-03
6,ZUMZ,Zumiez Inc.,2020-09-10T00:00:00.000Z,TNS,0.34,1.01,201.49,EST,0,EQUITY,2020-09-10
7,ZUMZ,Zumiez Inc.,2020-06-04T00:00:00.000Z,TNS,-0.54,-0.84,-55.84,EST,0,EQUITY,2020-06-04
8,ZUMZ,Zumiez Inc.,2020-03-12T00:00:00.000Z,TNS,1.36,1.48,8.82,EST,0,EQUITY,2020-03-12
9,ZUMZ,Zumiez Inc.,2019-12-05T00:00:00.000Z,TNS,0.6,0.75,25.21,EST,0,EQUITY,2019-12-05
10,ZUMZ,Zumiez Inc.,2019-09-05T00:00:00.000Z,TNS,0.19,0.36,89.47,EST,0,EQUITY,2019-09-05
11,ZUMZ,Zumiez Inc.,2019-06-06T00:00:00.000Z,TNS,-0.09,0.03,134.88,EST,0,EQUITY,2019-06-06
12,ZUMZ,Zumiez Inc.,2019-03-14T00:00:00.000Z,TNS,1.11,1.18,6.21,EST,0,EQUITY,2019-03-14
13,ZUMZ,Zumiez Inc.,2018-12-06T00:00:00.000Z,TNS,0.49,0.55,13.17,EST,0,EQUITY,2018-12-06
14,ZUMZ,Zumiez Inc.,2018-09-06T00:00:00.000Z,TNS,0.14,0.17,25.93,EST,0,EQUITY,2018-09-06
