Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-21,76.10134608630484,77.1247822873897,75.82134786093894,76.7771987915039,627000,0.0,0
2014-01-22,76.84480418535017,78.21583160759342,76.48757081887152,78.09996795654297,845200,0.0,0
2014-01-23,78.58271094821671,79.12339317709846,77.19237679824317,77.61720275878906,860500,0.0,0
2014-01-24,77.02823333072631,77.25030342994683,74.56619215008574,75.76342010498047,1093700,0.0,0
2014-01-27,75.8889436420123,76.35239082279442,73.66827918433954,73.97724151611328,593700,0.0,0
2014-01-28,74.18963321701949,76.69030283598406,74.18963321701949,75.83100128173828,608300,0.0,0
2014-01-29,74.8268774037349,75.89859197907487,74.47929390004398,75.12618255615234,345600,0.0,0
2014-01-30,76.11102335971185,76.2268796448212,74.67241064548972,75.3289566040039,348700,0.0,0
2014-01-31,73.87103148149326,76.51652178083147,73.86137433733259,76.03376770019531,597500,0.0,0
2014-02-03,75.89859232273082,76.53582383822132,72.77999791889522,73.05034637451172,1130000,0.0,0
2014-02-04,73.39790435243607,73.82273016847509,71.88205730530821,72.89584350585938,1771500,0.0,0
2014-02-05,71.01312779439692,74.17999336632307,70.01864820643581,71.73725891113281,2127300,0.0,0
2014-02-06,71.91104545651496,76.58410105501497,71.91104545651496,76.04341888427734,1895500,0.0,0
2014-02-07,76.25582550471282,78.07097790294824,76.22685407690906,77.66546630859375,1067800,0.0,0
2014-02-10,77.7041063607049,78.60202931814275,77.31790159163339,77.96479034423828,1076100,0.0,0
2014-02-11,77.88755494607243,78.3510021840303,77.13445962985433,78.09996795654297,526500,0.0,0
2014-02-12,79.2778826042932,80.02132071196534,78.0709972977685,79.53856658935547,1244500,0.0,0
2014-02-13,79.01718299695227,80.82268587871455,78.48615793731105,79.857177734375,831100,0.0,0
2014-02-14,79.70270401825788,81.82681908942119,79.55787631653244,81.63372039794922,667600,0.0,0
2014-02-18,82.02956929841399,83.03369863092308,81.49854425017097,82.15508270263672,661100,0.0,0
2014-02-19,82.13576493225206,82.96610239818398,81.37301273139639,81.48887634277344,411700,0.0,0
2014-02-20,81.60473045009512,81.97162819339003,80.86129255373233,81.43093872070312,373800,0.0,0
2014-02-21,81.66268116231842,82.15508501553028,81.18957686473316,81.19923400878906,441600,0.0,0
2014-02-24,81.38265968771056,81.78817122741255,80.6585287812825,80.73577117919922,454200,0.0,0
2014-02-25,80.92887757663101,81.5854232894681,80.19508945846222,80.96749877929688,516700,0.0,0
2014-02-26,81.44060001553382,85.45711691461769,81.02543127227507,84.86815643310547,1058600,0.0,0
2014-02-27,84.91641042402931,85.24468691559957,83.51642702160824,84.2598648071289,663500,0.0,0
2014-02-28,84.6074611070194,85.47641975683938,84.26953478937865,85.35090637207031,597000,0.0,0
2014-03-03,84.02814855529645,85.4957246394342,83.99918449786118,84.92607116699219,459300,0.0,0
2014-03-04,85.65985374701606,86.63501869385205,85.44744085104783,86.22949981689453,664000,0.0,0
2014-03-05,85.90126231063965,86.70263585261449,85.65988527025515,86.19091033935547,353500,0.0,0
2014-03-06,86.47090314342641,88.07365012642049,86.24884040535609,86.8957290649414,478800,0.0,0
2014-03-07,87.72606966537617,88.34399428198354,87.03090263013226,87.74537658691406,551900,0.0,0
2014-03-10,87.37847605223966,87.44606131917736,85.29297518746205,85.74676513671875,648600,0.0,0
2014-03-11,86.05572428628784,87.12743874186484,84.98400983071086,85.31228637695312,631400,0.0,0
2014-03-12,85.07091122029162,85.35090942671238,84.35643735653197,84.95504760742188,421300,0.0,0
2014-03-13,85.35091214160259,85.35091214160259,81.38267351104832,81.7881851196289,937900,0.0,0
2014-03-14,81.73024997339176,83.57436633946469,81.73024997339176,83.08196258544922,395400,0.0,0
2014-03-17,83.56472400100591,84.96470771573438,83.56472400100591,84.32746887207031,344900,0.0,0
2014-03-18,84.70402360829723,85.5247039692228,84.35644012452423,85.10953521728516,297200,0.0,0
2014-03-19,88.71086613405136,88.71086613405136,83.74815595322094,84.03781127929688,461000,0.0,0
2014-03-20,83.36194543130362,84.11504775276926,82.61850761726448,83.26539611816406,650900,0.0,0
2014-03-21,83.32336705984802,83.80612119723708,81.27648686547076,81.58544921875,564500,0.0,0
2014-03-24,82.06816493112736,82.43505525191419,80.49438983194159,81.76885986328125,493100,0.0,0
2014-03-25,82.26127400914517,83.12057549133087,82.17438182984688,82.98540496826172,402500,0.0,0
2014-03-26,83.03370026084417,83.03370026084417,79.96338407282836,80.45579528808594,1106700,0.0,0
2014-03-27,80.35923054922372,82.37713864473739,80.09853927558632,82.29989624023438,758200,0.0,0
2014-03-28,82.74403726780136,84.5978183295227,82.4640464144799,84.2405776977539,819000,0.0,0
2014-03-31,85.1481464360609,85.69848565978015,84.06677490601565,85.60193634033203,665700,0.0,0
2014-04-01,85.9302285607156,86.72194497864777,85.67919436978798,86.4805679321289,855500,0.0,0
2014-04-02,86.45160315164827,86.70263734050408,85.85298542937453,86.15229797363281,565800,0.0,0
2014-04-03,86.25850781161306,86.77023339722206,85.56334802466483,86.17161560058594,890600,0.0,0
2014-04-04,86.886057257621,90.99912313508034,85.69848661925549,87.17571258544922,1329600,0.0,0
2014-04-07,87.08872990100203,87.61068322702968,82.50714942730515,83.8990249633789,1412800,0.1,0
2014-04-08,83.95702609404289,84.20833861974654,82.48782234698636,83.19342803955078,564200,0.0,0
2014-04-09,83.46405704901224,86.15114426165368,83.04842797389372,85.76451873779297,491900,0.0,0
2014-04-10,85.73551549651926,85.9868279874647,83.42539332337599,83.66703796386719,470800,0.0,0
2014-04-11,82.92279151460893,84.09235091248549,81.38592747358378,81.82089233398438,503100,0.0,0
2014-04-14,82.69079776902585,82.69079776902585,81.23126209604303,82.17850494384766,571400,0.0,0
2014-04-15,82.24617170714914,83.41573833352832,81.221600723892,82.23651123046875,828500,0.0,0
2014-04-16,82.89377156215122,84.2179793449939,82.72944761787893,84.1696548461914,341000,0.0,0
2014-04-17,84.20833572973336,84.93326972659068,83.78303875843255,83.86036682128906,304100,0.0,0
2014-04-21,84.2373394767801,84.83661358172617,84.07302285925687,84.50798034667969,254800,0.0,0
2014-04-22,84.64327996621759,85.43587405075682,83.78302568084241,83.99567413330078,559700,0.0,0
2014-04-23,84.00534015896768,84.42096183049935,82.9807619443191,83.30940246582031,732300,0.0,0
2014-04-24,83.54138711412833,83.79269961021343,80.62232304203587,82.41049194335938,1131900,0.0,0
2014-04-25,81.94650332760953,81.94650332760953,79.89736214541428,80.29365539550781,1030400,0.0,0
2014-04-28,80.77696607599236,80.94128265342471,75.95374135859477,77.21028900146484,2154500,0.0,0
2014-04-29,77.48094819115904,78.85348810549539,76.31138153416033,78.53451538085938,790100,0.0,0
2014-04-30,78.37987159933398,80.95097475515531,78.24455115686034,80.54501342773438,996300,0.0,0
2014-05-01,80.6513167830276,83.12575551769696,80.47733234859558,80.97994995117188,601700,0.0,0
2014-05-02,81.02830350604015,82.86480472205018,80.5546745790154,81.68557739257812,380000,0.0,0
2014-05-05,80.89297279117241,81.97553620254673,79.57842518500917,81.75322723388672,381700,0.0,0
2014-05-06,81.24092933897636,81.98519157097277,80.17768704411144,80.48699188232422,686200,0.0,0
2014-05-07,80.53533870167959,80.86397930136175,78.98881422367342,79.74274444580078,702800,0.0,0
