Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-21,47.09762746653063,47.40252181013734,46.46243199427374,46.674163818359375,1517300,0.0,0
2014-01-22,46.74190269000826,47.292406564387505,46.6741502060616,46.877410888671875,1207600,0.0,0
2014-01-23,46.53017343655983,46.66568164252999,46.04742525086797,46.11518096923828,997200,0.0,0
2014-01-24,45.92038757424498,46.1067093359874,45.58161544799804,45.58161544799805,904900,0.0,0
2014-01-27,45.43764120937232,46.21681260778603,45.4207022793063,45.93732833862305,1040900,0.0,0
2014-01-28,45.96273302337555,46.43701335129503,45.801818041238604,46.32691192626953,871500,0.0,0
2014-01-29,45.90345203654737,45.90345203654737,44.9972402472651,45.234378814697266,1136200,0.0,0
2014-01-30,45.50539110366841,45.725593951197865,45.27672040697415,45.57314682006836,771500,0.0,0
2014-01-31,44.853261303885944,45.0565252424006,44.50602129995021,44.582244873046875,1071400,0.0,0
2014-02-03,44.54837081933341,44.582248683776726,43.5828742980957,43.5828742980957,1321400,0.0,0
2014-02-04,43.84540970700976,44.06560929808488,43.430414069390885,43.59980010986328,1337000,0.0,0
2014-02-05,43.44735931870193,43.58286752464415,43.10859041923161,43.464298248291016,791300,0.0,0
2014-02-06,43.59980052157435,43.84541012104011,43.54051589146469,43.76071548461914,763200,0.0,0
2014-02-07,44.014800611573136,44.41285413528681,43.89623133937033,44.387447357177734,567800,0.0,0
2014-02-10,44.5229632376023,44.61612574776451,44.04868283621783,44.48061752319336,725000,0.0,0
2014-02-11,44.48061713024032,45.20050396114532,44.387454620901124,45.13275146484375,757200,0.0,0
2014-02-12,45.293661668626264,45.42070202803336,44.88713704160233,44.97182846069336,1373600,0.0,0
2014-02-13,44.616127332585314,46.309981815277936,44.616127332585314,46.18294143676758,1322400,0.0,0
2014-02-14,46.25915876514599,46.67415447885245,46.098243774117684,46.597930908203125,1242200,0.0,0
2014-02-18,46.267634442465244,47.283947741839626,46.25916336112336,47.19925308227539,1463800,0.0,0
2014-02-19,47.190775951001555,48.06310977294598,47.08914237951209,47.529544830322266,1382000,0.0,0
2014-02-20,47.51261870193789,47.78363517071611,47.13997186506063,47.538028717041016,1449000,0.0,0
2014-02-21,47.5464800392408,48.029228158353355,47.360155070190324,47.936065673828125,956600,0.0,0
2014-02-24,48.27484643795402,48.73218786380379,48.06311465533141,48.503517150878906,1372800,0.0,0
2014-02-25,48.55433179854058,48.68136892404421,48.24943752809912,48.486576080322266,758800,0.0,0
2014-02-26,48.699698149529155,48.82756167344117,48.27347989958142,48.31610107421875,700700,0.37,0
2014-02-27,48.33314656906365,48.648547139867034,48.25642715975613,48.51215744018555,761100,0.0,0
2014-02-28,48.57181795636448,48.74230585960548,48.1967471706633,48.44395446777344,919800,0.0,0
2014-03-03,48.16264691755679,48.341657745140274,47.787576147602906,48.26493835449219,732900,0.0,0
2014-03-04,48.6485347633632,48.938363207925484,48.324608089608624,48.520668029785156,896800,0.0,0
2014-03-05,48.588881216143236,49.202636545761166,48.50363886560174,49.00657653808594,956500,0.0,0
2014-03-06,48.99804067760874,49.603269701601576,48.90427215945475,49.43278503417969,1185000,0.0,0
2014-03-07,49.500981034020576,49.850479824744816,49.30492105403252,49.645896911621094,856700,0.0,0
2014-03-10,49.594753888510006,49.85901036380776,49.44131506437416,49.83343505859375,675500,0.0,0
2014-03-11,49.80784896016135,49.8589963043796,49.356058800818325,49.46687316894531,763100,0.0,0
2014-03-12,49.20262270059446,49.70556023155665,49.15147535358962,49.535072326660156,727200,0.0,0
2014-03-13,49.662928889464105,49.82489383982861,49.0577000006964,49.12589645385742,798800,0.0,0
2014-03-14,49.07476178048766,49.57769937111102,48.9639441413912,49.10886001586914,782700,0.0,0
2014-03-17,49.27081814019311,49.654415130615234,49.13442846046373,49.654415130615234,641200,0.0,0
2014-03-18,49.62031768515811,49.74818443459009,49.36458743808068,49.59474563598633,562700,0.0,0
2014-03-19,49.62032278912904,49.867530129172586,49.04066576851024,49.22820281982422,601200,0.0,0
2014-03-20,49.15147201709611,49.59473923902267,48.989510306921176,49.57769012451172,383900,0.0,0
2014-03-21,49.577698515887064,50.42161194219415,49.577698515887064,49.86752700805664,1255500,0.0,0
2014-03-24,49.97834539748712,50.310795062258805,48.9980422690386,49.05771255493164,753200,0.0,0
2014-03-25,49.44982475804452,49.978337567130524,49.27934011179607,49.96128845214844,1125200,0.0,0
2014-03-26,49.995389598952336,50.16587425514723,49.27081680297851,49.270816802978516,591600,0.0,0
2014-03-27,49.42426097284715,49.773759758933934,49.26229923112436,49.500980377197266,699300,0.0,0
2014-03-28,49.88458474717134,50.14031504874635,49.356075023678024,49.50951385498047,888200,0.0,0
2014-03-31,49.96129125802467,50.276691773440945,49.731133070519924,50.174400329589844,880600,0.0,0
2014-04-01,50.234073528769606,50.302266744704504,49.86752564423317,50.182926177978516,747400,0.0,0
2014-04-02,50.182931034402884,50.74553894040473,49.96129899643295,50.719966888427734,1150100,0.0,0
2014-04-03,50.86487680063668,50.93307327131363,50.47275684960433,50.907501220703125,1329900,0.0,0
2014-04-04,51.146170086113,51.91336393811907,50.737001115638414,50.967159271240234,1686900,0.0,0
2014-04-07,50.86487503349519,51.180278821738305,50.39603569513298,50.48128128051758,1799400,0.0,0
2014-04-08,50.54947449703866,50.933071501802864,50.09768427575337,50.48128128051758,1576500,0.0,0
2014-04-09,50.5920885875155,50.68585709242984,50.02948080981556,50.575042724609375,1208400,0.0,0
2014-04-10,49.918666580074486,50.557993749764954,49.4498240542059,49.46687316894531,1085500,0.0,0
2014-04-11,49.441306192934924,49.69703643667902,48.40985903382142,48.657066345214844,1433200,0.0,0
2014-04-14,49.040668150398105,49.23672814457308,48.665597281339934,49.0491943359375,909000,0.0,0
